,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run,observation
41,41,0.011272319592762287,0.021738388062817467,-0.08443279255020146,-0.011272319592762287,-0.011204466223716736,DSAC,sq_error,jumping-flower-611,state + error
42,42,0.009766518148759548,0.02177437151435341,-0.07705132427757891,-0.009766518148759548,-0.011230409145355225,DSAC,sq_error,jumping-flower-611,state + error
43,43,0.008149513954310388,0.021819947835232622,-0.06845471059286883,-0.008149513954310388,-0.011255636811256409,DSAC,sq_error,jumping-flower-611,state + error
44,44,0.006504518560275459,0.02187207030652945,-0.05877852522924734,-0.006504518560275459,-0.011279135942459106,DSAC,sq_error,jumping-flower-611,state + error
45,45,0.00491441114203263,0.02192749374422514,-0.048175367410171616,-0.00491441114203263,-0.011300086975097656,DSAC,sq_error,jumping-flower-611,state + error
46,46,0.0034580363421462678,0.021992615449509055,-0.036812455268467874,-0.0034580363421462678,-0.011331900954246521,DSAC,sq_error,jumping-flower-611,state + error
47,47,0.0022022737181695766,0.02205940053958811,-0.024868988716485622,-0.0022022737181695766,-0.011354997754096985,DSAC,sq_error,jumping-flower-611,state + error
48,48,0.0012009290423953642,0.022121099772448076,-0.012533323356430643,-0.0012009290423953642,-0.011369571089744568,DSAC,sq_error,jumping-flower-611,state + error
49,49,0.0004916405562062928,0.022172969043551292,-2.0212861992297212e-16,-0.0004916405562062928,-0.01137697696685791,DSAC,sq_error,jumping-flower-611,state + error
50,50,9.367166166014141e-05,0.02221173550203242,0.012533323356430155,-9.367166166014141e-05,-0.011378109455108643,DSAC,sq_error,jumping-flower-611,state + error
51,51,6.935642859974206e-06,0.022235427845729693,0.024868988716485144,-6.935642859974206e-06,-0.011373862624168396,DSAC,sq_error,jumping-flower-611,state + error
52,52,0.00021225970399495786,0.022243319947695697,0.03681245526846741,-0.00021225970399495786,-0.011365294456481934,DSAC,sq_error,jumping-flower-611,state + error
53,53,0.0006728632393947349,0.02223575986890836,0.0481753674101711,-0.0006728632393947349,-0.011353477835655212,DSAC,sq_error,jumping-flower-611,state + error
54,54,0.0013369580403568635,0.022214088403871537,0.05877852522924686,-0.0013369580403568635,-0.011339619755744934,DSAC,sq_error,jumping-flower-611,state + error
55,55,0.002141301231495046,0.022180514419460565,0.06845471059286855,-0.002141301231495046,-0.01132500171661377,DSAC,sq_error,jumping-flower-611,state + error
56,56,0.003015469039162244,0.02213803773267907,0.0770513242775786,-0.003015469039162244,-0.011311039328575134,DSAC,sq_error,jumping-flower-611,state + error
57,57,0.003886617923135489,0.0220900469968051,0.0844327925502012,-0.003886617923135489,-0.011298805475234985,DSAC,sq_error,jumping-flower-611,state + error
58,58,0.004684367161901803,0.022040268397072408,0.09048270524660168,-0.004684367161901803,-0.011289462447166443,DSAC,sq_error,jumping-flower-611,state + error
59,59,0.005345541035422025,0.02199244464594735,0.09510565162951513,-0.005345541035422025,-0.011283859610557556,DSAC,sq_error,jumping-flower-611,state + error
60,60,0.00581843895154475,0.02195003242843001,0.09822872507286873,-0.00581843895154475,-0.011282488703727722,DSAC,sq_error,jumping-flower-611,state + error
61,61,0.006066317601043749,0.021916104032513303,0.09980267284282712,-0.006066317601043749,-0.011285707354545593,DSAC,sq_error,jumping-flower-611,state + error
62,62,0.006069925665350506,0.021892945174515423,0.0998026728428272,-0.006069925665350506,-0.011293262243270874,DSAC,sq_error,jumping-flower-611,state + error
63,63,0.005828805253849103,0.021882112483644734,0.09822872507286903,-0.005828805253849103,-0.011304855346679688,DSAC,sq_error,jumping-flower-611,state + error
64,64,0.005361393016542655,0.0218841177986633,0.09510565162951565,-0.005361393016542655,-0.011319592595100403,DSAC,sq_error,jumping-flower-611,state + error
65,65,0.004703786110910204,0.02189855174952841,0.09048270524660239,-0.004703786110910204,-0.011336535215377808,DSAC,sq_error,jumping-flower-611,state + error
66,66,0.003907333893761274,0.0219241220015391,0.08443279255020199,-0.003907333893761274,-0.011354580521583557,DSAC,sq_error,jumping-flower-611,state + error
67,67,0.0030352132000553487,0.021958555241567673,0.07705132427757955,-0.0030352132000553487,-0.01137225329875946,DSAC,sq_error,jumping-flower-611,state + error
68,68,0.0021581362902547037,0.02199896508970603,0.06845471059286962,-0.0021581362902547037,-0.011388346552848816,DSAC,sq_error,jumping-flower-611,state + error
69,69,0.0013495707248702463,0.022042021246557547,0.0587785252292482,-0.0013495707248702463,-0.011401697993278503,DSAC,sq_error,jumping-flower-611,state + error
70,70,0.0006807596727028293,0.02208399579611537,0.04817536741017256,-0.0006807596727028293,-0.011411041021347046,DSAC,sq_error,jumping-flower-611,state + error
71,71,0.00021583377505381862,0.022121172987680168,0.036812455268468956,-0.00021583377505381862,-0.011415541172027588,DSAC,sq_error,jumping-flower-611,state + error
72,72,7.392272304773142e-06,0.022150115364384243,0.024868988716486753,-7.392272304773142e-06,-0.011414676904678345,DSAC,sq_error,jumping-flower-611,state + error
73,73,9.282299325847131e-05,0.022167792374414644,0.0125333233564318,-9.282299325847131e-05,-0.011408105492591858,DSAC,sq_error,jumping-flower-611,state + error
74,74,0.0004915925149232734,0.02217188568713401,1.457824875494621e-15,-0.0004915925149232734,-0.011395961046218872,DSAC,sq_error,jumping-flower-611,state + error
75,75,0.0012036894933728692,0.022160905174738482,-0.012533323356428908,-0.0012036894933728692,-0.011378660798072815,DSAC,sq_error,jumping-flower-611,state + error
76,76,0.002209304800243722,0.022134253727455214,-0.02486898871648393,-0.002209304800243722,-0.01135687530040741,DSAC,sq_error,jumping-flower-611,state + error
77,77,0.003469776120018783,0.022092350308148337,-0.0368124552684664,-0.003469776120018783,-0.011331647634506226,DSAC,sq_error,jumping-flower-611,state + error
78,78,0.00492973154433784,0.0220366795927327,-0.04817536741017016,-0.00492973154433784,-0.011304333806037903,DSAC,sq_error,jumping-flower-611,state + error
79,79,0.006520253957481667,0.0219695642681636,-0.05877852522924598,-0.006520253957481667,-0.011276230216026306,DSAC,sq_error,jumping-flower-611,state + error
80,80,0.008163094425530463,0.021895134041921123,-0.06845471059286762,-0.008163094425530463,-0.011250287294387817,DSAC,sq_error,jumping-flower-611,state + error
81,81,0.009776858428200653,0.02182667341756496,-0.07705132427757778,-0.009776858428200653,-0.011240646243095398,DSAC,sq_error,jumping-flower-611,state + error
82,82,0.011277497674077623,0.021762770794402544,-0.08443279255020061,-0.011277497674077623,-0.01122884452342987,DSAC,sq_error,jumping-flower-611,state + error
83,83,0.012585890525206507,0.02170415015636704,-0.09048270524660122,-0.012585890525206507,-0.011217907071113586,DSAC,sq_error,jumping-flower-611,state + error
84,84,0.013632511644031233,0.021652695583998093,-0.0951056516295148,-0.013632511644031233,-0.011209875345230103,DSAC,sq_error,jumping-flower-611,state + error
85,85,0.014361450341924847,0.021610543707964947,-0.09822872507286852,-0.014361450341924847,-0.011205732822418213,DSAC,sq_error,jumping-flower-611,state + error
86,86,0.014733705131933297,0.02157980172386359,-0.09980267284282704,-0.014733705131933297,-0.011206135153770447,DSAC,sq_error,jumping-flower-611,state + error
87,87,0.014729391375713262,0.021562031151840216,-0.09980267284282729,-0.014729391375713262,-0.011211007833480835,DSAC,sq_error,jumping-flower-611,state + error
88,88,0.014348922646284214,0.02155826356230857,-0.09822872507286923,-0.014348922646284214,-0.011220201849937439,DSAC,sq_error,jumping-flower-611,state + error
89,89,0.01361292486869994,0.021568788025019922,-0.09510565162951598,-0.01361292486869994,-0.011233150959014893,DSAC,sq_error,jumping-flower-611,state + error
90,90,0.01256097754397484,0.021593061732592254,-0.09048270524660285,-0.01256097754397484,-0.011248990893363953,DSAC,sq_error,jumping-flower-611,state + error
91,91,0.011249318752979947,0.021630013149910463,-0.08443279255020265,-0.011249318752979947,-0.011267095804214478,DSAC,sq_error,jumping-flower-611,state + error
92,92,0.009747415425699894,0.021677675644934294,-0.07705132427758034,-0.009747415425699894,-0.011286154389381409,DSAC,sq_error,jumping-flower-611,state + error
93,93,0.008133934974722964,0.0217336199977496,-0.06845471059287041,-0.008133934974722964,-0.011305242776870728,DSAC,sq_error,jumping-flower-611,state + error
94,94,0.006492088577118932,0.021794972753145424,-0.05877852522924908,-0.006492088577118932,-0.011323302984237671,DSAC,sq_error,jumping-flower-611,state + error
95,95,0.004904760756002406,0.021858629734087837,-0.0481753674101735,-0.004904760756002406,-0.011339426040649414,DSAC,sq_error,jumping-flower-611,state + error
96,96,0.0034508071518891477,0.021931115885224367,-0.036812455268469955,-0.0034508071518891477,-0.011366963386535645,DSAC,sq_error,jumping-flower-611,state + error
97,97,0.0021971226903200643,0.02200448662213057,-0.024868988716487798,-0.0021971226903200643,-0.011386245489120483,DSAC,sq_error,jumping-flower-611,state + error
98,98,0.0011975337410721405,0.02207207710465327,-0.012533323356432868,-0.0011975337410721405,-0.01139742136001587,DSAC,sq_error,jumping-flower-611,state + error
99,99,0.0004897009560119257,0.022129187875107696,-2.5358854471262447e-15,-0.0004897009560119257,-0.011401757597923279,DSAC,sq_error,jumping-flower-611,state + error
0,0,0.0007619404633513652,0.040136592426440326,0.012533323356430426,-0.0007619404633513652,-0.058533161878585815,DSAC,sq_error,decent-shape-610,ref + state
1,1,0.002055814771545245,0.07021008234627395,0.02486898871648548,-0.002055814771545245,-0.05298411473631859,DSAC,sq_error,decent-shape-610,ref + state
2,2,0.003144876180749315,0.09289165088278911,0.0368124552684678,-0.003144876180749315,-0.04988517984747887,DSAC,sq_error,decent-shape-610,ref + state
3,3,0.0036962151634313094,0.10897187358800473,0.04817536741017153,-0.0036962151634313094,-0.04682856798171997,DSAC,sq_error,decent-shape-610,ref + state
4,4,0.00385584141594526,0.1208739470890371,0.058778525229247314,-0.00385584141594526,-0.046178292483091354,DSAC,sq_error,decent-shape-610,ref + state
5,5,0.0037967396226954624,0.13007239979569002,0.06845471059286887,-0.0037967396226954624,-0.04693608358502388,DSAC,sq_error,decent-shape-610,ref + state
6,6,0.0036424639991040715,0.13740415353275198,0.07705132427757894,-0.0036424639991040715,-0.04840453341603279,DSAC,sq_error,decent-shape-610,ref + state
7,7,0.003379497606511878,0.14256623908927984,0.08443279255020152,-0.003379497606511878,-0.049047186970710754,DSAC,sq_error,decent-shape-610,ref + state
8,8,0.003077517133994959,0.14595807936877403,0.09048270524660196,-0.003077517133994959,-0.04977734386920929,DSAC,sq_error,decent-shape-610,ref + state
9,9,0.002751173439566476,0.14755728115202377,0.09510565162951536,-0.002751173439566476,-0.05002523213624954,DSAC,sq_error,decent-shape-610,ref + state
10,10,0.0024554610445244314,0.1477813339297639,0.09822872507286887,-0.0024554610445244314,-0.05039351433515549,DSAC,sq_error,decent-shape-610,ref + state
11,11,0.0022224348139501925,0.1469453797437911,0.09980267284282716,-0.0022224348139501925,-0.05079609900712967,DSAC,sq_error,decent-shape-610,ref + state
12,12,0.0020687753189253125,0.14528646466942527,0.09980267284282716,-0.0020687753189253125,-0.05117006599903107,DSAC,sq_error,decent-shape-610,ref + state
13,13,0.002002877474286956,0.14298224420027333,0.09822872507286888,-0.002002877474286956,-0.051470138132572174,DSAC,sq_error,decent-shape-610,ref + state
14,14,0.0020304237157011094,0.14016587483913903,0.09510565162951534,-0.0020304237157011094,-0.05166514217853546,DSAC,sq_error,decent-shape-610,ref + state
15,15,0.002158044169519378,0.13693745925003392,0.09048270524660196,-0.002158044169519378,-0.051734693348407745,DSAC,sq_error,decent-shape-610,ref + state
16,16,0.0023951488683811085,0.13337305070625446,0.0844327925502015,-0.0023951488683811085,-0.051666997373104095,DSAC,sq_error,decent-shape-610,ref + state
17,17,0.0027541949550062145,0.12953174877096704,0.0770513242775789,-0.0027541949550062145,-0.051457203924655914,DSAC,sq_error,decent-shape-610,ref + state
18,18,0.0032497325944396515,0.12546113649767057,0.06845471059286883,-0.0032497325944396515,-0.05110594630241394,DSAC,sq_error,decent-shape-610,ref + state
19,19,0.0038701507329789112,0.12098906077571969,0.05877852522924725,-0.0038701507329789112,-0.050308533012866974,DSAC,sq_error,decent-shape-610,ref + state
20,20,0.004394755877738071,0.11446832237325992,0.048175367410171484,-0.004394755877738071,-0.046880267560482025,DSAC,sq_error,decent-shape-610,ref + state
21,21,0.00483723384818728,0.10636268063249714,0.036812455268467735,-0.00483723384818728,-0.043526675552129745,DSAC,sq_error,decent-shape-610,ref + state
22,22,0.0052458975368052775,0.09729755722922957,0.024868988716485397,-0.0052458975368052775,-0.04055582731962204,DSAC,sq_error,decent-shape-610,ref + state
23,23,0.005657165734499781,0.08774745590144996,0.012533323356430322,-0.005657165734499781,-0.03786884993314743,DSAC,sq_error,decent-shape-610,ref + state
24,24,0.00610362374778569,0.07812569198276376,-7.6571373978539e-17,-0.00610362374778569,-0.03547807037830353,DSAC,sq_error,decent-shape-610,ref + state
25,25,0.0065313982481687086,0.0682837432085513,-0.012533323356430563,-0.0065313982481687086,-0.03266220539808273,DSAC,sq_error,decent-shape-610,ref + state
26,26,0.006647506100203103,0.05666325092037894,-0.024868988716485588,-0.006647506100203103,-0.02734392136335373,DSAC,sq_error,decent-shape-610,ref + state
27,27,0.006566361471023598,0.04422063347325289,-0.036812455268467915,-0.006566361471023598,-0.022844739258289337,DSAC,sq_error,decent-shape-610,ref + state
28,28,0.006387861056912369,0.03174872818629016,-0.04817536741017166,-0.006387861056912369,-0.01911868527531624,DSAC,sq_error,decent-shape-610,ref + state
29,29,0.006201426842570489,0.01997061344902951,-0.058778525229247404,-0.006201426842570489,-0.01624130830168724,DSAC,sq_error,decent-shape-610,ref + state
30,30,0.006100265338709606,0.009649484804751021,-0.06845471059286899,-0.006100265338709606,-0.014449398964643478,DSAC,sq_error,decent-shape-610,ref + state
31,31,0.006176119003777881,0.0015369636779291942,-0.07705132427757905,-0.006176119003777881,-0.013927660882472992,DSAC,sq_error,decent-shape-610,ref + state
32,32,0.006525117122564514,-0.0036545954759631214,-0.08443279255020163,-0.006525117122564514,-0.014831766486167908,DSAC,sq_error,decent-shape-610,ref + state
33,33,0.0070361186018661846,-0.006601130381401871,-0.09048270524660205,-0.0070361186018661846,-0.015353836119174957,DSAC,sq_error,decent-shape-610,ref + state
34,34,0.007586000378430494,-0.00800800310539913,-0.09510565162951541,-0.007586000378430494,-0.015362992882728577,DSAC,sq_error,decent-shape-610,ref + state
35,35,0.008173305171379971,-0.00782239138224759,-0.09822872507286891,-0.008173305171379971,-0.015851303935050964,DSAC,sq_error,decent-shape-610,ref + state
36,36,0.008657197602147112,-0.0067586101512877896,-0.09980267284282718,-0.008657197602147112,-0.015740573406219482,DSAC,sq_error,decent-shape-610,ref + state
37,37,0.00894131770953828,-0.005244131665743191,-0.09980267284282714,-0.00894131770953828,-0.015314273536205292,DSAC,sq_error,decent-shape-610,ref + state
38,38,0.008966317165178405,-0.0035380858038344164,-0.09822872507286884,-0.008966317165178405,-0.014731280505657196,DSAC,sq_error,decent-shape-610,ref + state
39,39,0.008707253397483296,-0.0017929869077140449,-0.09510565162951531,-0.008707253397483296,-0.014088984578847885,DSAC,sq_error,decent-shape-610,ref + state
40,40,0.008169744385994984,-9.606693100247814e-05,-0.09048270524660189,-0.008169744385994984,-0.013443239033222198,DSAC,sq_error,decent-shape-610,ref + state
41,41,0.007385468927081544,0.001505958470985397,-0.08443279255020146,-0.007385468927081544,-0.01282576099038124,DSAC,sq_error,decent-shape-610,ref + state
42,42,0.006474030883764105,0.003410038398951149,-0.07705132427757891,-0.006474030883764105,-0.0128641277551651,DSAC,sq_error,decent-shape-610,ref + state
43,43,0.005575019230820287,0.0062113408014582185,-0.06845471059286883,-0.005575019230820287,-0.01392851397395134,DSAC,sq_error,decent-shape-610,ref + state
44,44,0.004750425344585015,0.010144804236072422,-0.05877852522924734,-0.004750425344585015,-0.01562875509262085,DSAC,sq_error,decent-shape-610,ref + state
45,45,0.004205764137347325,0.016676495611235298,-0.048175367410171616,-0.004205764137347325,-0.019826039671897888,DSAC,sq_error,decent-shape-610,ref + state
46,46,0.0039057459479922636,0.025683512185378808,-0.036812455268467874,-0.0039057459479922636,-0.0245528444647789,DSAC,sq_error,decent-shape-610,ref + state
47,47,0.0037803189369042334,0.03661530957912993,-0.024868988716485622,-0.0037803189369042334,-0.02920355275273323,DSAC,sq_error,decent-shape-610,ref + state
48,48,0.003768067889008444,0.048851266639825294,-0.012533323356430643,-0.003768067889008444,-0.03359083831310272,DSAC,sq_error,decent-shape-610,ref + state
49,49,0.003820495009215336,0.06181015296223842,-2.0212861992297212e-16,-0.003820495009215336,-0.03765660896897316,DSAC,sq_error,decent-shape-610,ref + state
50,50,0.003806617344341117,0.07423111378964678,0.012533323356430155,-0.003806617344341117,-0.04028826206922531,DSAC,sq_error,decent-shape-610,ref + state
51,51,0.0036434306327436383,0.08522982562870529,0.024868988716485144,-0.0036434306327436383,-0.04174591973423958,DSAC,sq_error,decent-shape-610,ref + state
52,52,0.0033925174646365903,0.09505777666543963,0.03681245526846741,-0.0033925174646365903,-0.0434563085436821,DSAC,sq_error,decent-shape-610,ref + state
53,53,0.00313666408567974,0.10418129643272853,0.0481753674101711,-0.00313666408567974,-0.04574483633041382,DSAC,sq_error,decent-shape-610,ref + state
54,54,0.0029355411325784277,0.11295915952396907,0.05877852522924686,-0.0029355411325784277,-0.0485241562128067,DSAC,sq_error,decent-shape-610,ref + state
55,55,0.0027204023756194273,0.12061218729199029,0.06845471059286855,-0.0027204023756194273,-0.05019223317503929,DSAC,sq_error,decent-shape-610,ref + state
56,56,0.0024673688634055837,0.12672394111427832,0.0770513242775786,-0.0024673688634055837,-0.051086097955703735,DSAC,sq_error,decent-shape-610,ref + state
57,57,0.00219177489543216,0.13124918813371617,0.0844327925502012,-0.00219177489543216,-0.05162232369184494,DSAC,sq_error,decent-shape-610,ref + state
58,58,0.0019117026569056466,0.13420572729340954,0.09048270524660168,-0.0019117026569056466,-0.05184590816497803,DSAC,sq_error,decent-shape-610,ref + state
59,59,0.0016651912807896848,0.135912406962299,0.09510565162951513,-0.0016651912807896848,-0.05216500908136368,DSAC,sq_error,decent-shape-610,ref + state
60,60,0.0014750208773259097,0.13663472561088244,0.09822872507286873,-0.0014750208773259097,-0.0525423139333725,DSAC,sq_error,decent-shape-610,ref + state
61,61,0.0013538929549121114,0.13659795725417678,0.09980267284282712,-0.0013538929549121114,-0.05295654386281967,DSAC,sq_error,decent-shape-610,ref + state
62,62,0.0013026573190491914,0.1358950171702492,0.0998026728428272,-0.0013026573190491914,-0.053250156342983246,DSAC,sq_error,decent-shape-610,ref + state
63,63,0.0013225293942843452,0.1345953223055542,0.09822872507286903,-0.0013225293942843452,-0.05340014398097992,DSAC,sq_error,decent-shape-610,ref + state
64,64,0.0014172944650407654,0.1327526231550018,0.09510565162951565,-0.0014172944650407654,-0.05339224636554718,DSAC,sq_error,decent-shape-610,ref + state
65,65,0.0015942440604447658,0.1304106911768339,0.09048270524660239,-0.0015942440604447658,-0.053218916058540344,DSAC,sq_error,decent-shape-610,ref + state
66,66,0.0018640609809860338,0.1276075650566789,0.08443279255020199,-0.0018640609809860338,-0.052878037095069885,DSAC,sq_error,decent-shape-610,ref + state
67,67,0.0022490372732545186,0.12447534006340813,0.07705132427757955,-0.0022490372732545186,-0.05251290649175644,DSAC,sq_error,decent-shape-610,ref + state
68,68,0.0027660390101345643,0.12104785663049095,0.06845471059286962,-0.0027660390101345643,-0.0520087331533432,DSAC,sq_error,decent-shape-610,ref + state
69,69,0.0034029375751028334,0.11711322823785907,0.0587785252292482,-0.0034029375751028334,-0.05101620405912399,DSAC,sq_error,decent-shape-610,ref + state
70,70,0.004068611745659641,0.11196103778886844,0.04817536741017256,-0.004068611745659641,-0.04876206815242767,DSAC,sq_error,decent-shape-610,ref + state
71,71,0.004597543287183422,0.10461764155376296,0.036812455268468956,-0.004597543287183422,-0.04469827935099602,DSAC,sq_error,decent-shape-610,ref + state
72,72,0.005057526033428795,0.09598527400634702,0.024868988716486753,-0.005057526033428795,-0.0413217730820179,DSAC,sq_error,decent-shape-610,ref + state
73,73,0.005506966779702626,0.08674226338189386,0.0125333233564318,-0.005506966779702626,-0.03847463056445122,DSAC,sq_error,decent-shape-610,ref + state
74,74,0.005979063915627059,0.07732440698529336,1.457824875494621e-15,-0.005979063915627059,-0.03594246134161949,DSAC,sq_error,decent-shape-610,ref + state
75,75,0.006425375663403699,0.06762511764265551,-0.012533323356428908,-0.006425375663403699,-0.033033765852451324,DSAC,sq_error,decent-shape-610,ref + state
76,76,0.0065613303128948565,0.05613305022634057,-0.02486898871648393,-0.0065613303128948565,-0.027685195207595825,DSAC,sq_error,decent-shape-610,ref + state
77,77,0.006494741076382946,0.04377750115528994,-0.0368124552684664,-0.006494741076382946,-0.023118983954191208,DSAC,sq_error,decent-shape-610,ref + state
78,78,0.0063274491250708284,0.031369897219918466,-0.04817536741017016,-0.0063274491250708284,-0.01934891566634178,DSAC,sq_error,decent-shape-610,ref + state
79,79,0.006150851793641219,0.01964884112741054,-0.05877852522924598,-0.006150851793641219,-0.016449041664600372,DSAC,sq_error,decent-shape-610,ref + state
80,80,0.006056632464431789,0.009369658755247177,-0.06845471059286762,-0.006056632464431789,-0.014624793082475662,DSAC,sq_error,decent-shape-610,ref + state
81,81,0.006135532728907605,0.0012783171674563259,-0.07705132427757778,-0.006135532728907605,-0.014061924070119858,DSAC,sq_error,decent-shape-610,ref + state
82,82,0.006487226288338548,-0.0038894732224093904,-0.08443279255020061,-0.006487226288338548,-0.014956600964069366,DSAC,sq_error,decent-shape-610,ref + state
