,episode_step,tracking_error,state,reference,reward,action,algorithm,reward_type,run
0,0,4.770832183685521e-05,0.005626202260282247,0.012533323356430426,-4.770832183685521e-05,-0.00820496678352356,TD3,sq_error,peach-violet-149
1,1,0.00016826156134646061,0.011897421295912876,0.02486898871648548,-0.00016826156134646061,-0.010424941778182983,TD3,sq_error,peach-violet-149
2,2,0.00034376059516329904,0.018271673322624762,0.0368124552684678,-0.00034376059516329904,-0.012119323015213013,TD3,sq_error,peach-violet-149
3,3,0.0005216038354142812,0.025336719564594483,0.04817536741017153,-0.0005216038354142812,-0.014817386865615845,TD3,sq_error,peach-violet-149
4,4,0.0006072872278938949,0.034135326818856365,0.058778525229247314,-0.0006072872278938949,-0.019309550523757935,TD3,sq_error,peach-violet-149
5,5,0.0006508845077657163,0.04294227229768202,0.06845471059286887,-0.0006508845077657163,-0.021802276372909546,TD3,sq_error,peach-violet-149
6,6,0.0006913739808782006,0.05075733293206046,0.07705132427757894,-0.0006913739808782006,-0.022988080978393555,TD3,sq_error,peach-violet-149
7,7,0.0007407168817424033,0.057216678173927976,0.08443279255020152,-0.0007407168817424033,-0.023556888103485107,TD3,sq_error,peach-violet-149
8,8,0.0008035072545501373,0.062136501716849736,0.09048270524660196,-0.0008035072545501373,-0.023657560348510742,TD3,sq_error,peach-violet-149
9,9,0.0008864004695182524,0.06533317323892361,0.09510565162951536,-0.0008864004695182524,-0.02321222424507141,TD3,sq_error,peach-violet-149
10,10,0.0009768881043627216,0.0669735158372435,0.09822872507286887,-0.0009768881043627216,-0.022652655839920044,TD3,sq_error,peach-violet-149
11,11,0.0010599480099709074,0.06724583009094308,0.09980267284282716,-0.0010599480099709074,-0.022009432315826416,TD3,sq_error,peach-violet-149
12,12,0.0011251418354550078,0.06625953888884177,0.09980267284282716,-0.0011251418354550078,-0.021177977323532104,TD3,sq_error,peach-violet-149
13,13,0.0011532530474026475,0.06426914546117982,0.09822872507286888,-0.0011532530474026475,-0.02036869525909424,TD3,sq_error,peach-violet-149
14,14,0.001131315315724494,0.061470620549932645,0.09510565162951534,-0.001131315315724494,-0.019532233476638794,TD3,sq_error,peach-violet-149
15,15,0.0010659197975126282,0.057834278063770804,0.09048270524660196,-0.0010659197975126282,-0.01836913824081421,TD3,sq_error,peach-violet-149
16,16,0.0009615525255746668,0.053423882127958885,0.0844327925502015,-0.0009615525255746668,-0.01699921488761902,TD3,sq_error,peach-violet-149
17,17,0.0007941097669513561,0.048871370996010875,0.0770513242775789,-0.0007941097669513561,-0.01625591516494751,TD3,sq_error,peach-violet-149
18,18,0.0005785641254373061,0.044401350631372676,0.06845471059286883,-0.0005785641254373061,-0.015681296586990356,TD3,sq_error,peach-violet-149
19,19,0.0003557884685260536,0.03991616937092315,0.05877852522924725,-0.0003557884685260536,-0.014862686395645142,TD3,sq_error,peach-violet-149
20,20,0.0001635682469173854,0.03538598717040281,0.048175367410171484,-0.0001635682469173854,-0.013887256383895874,TD3,sq_error,peach-violet-149
21,21,3.8056773518595384e-05,0.03064343804377178,0.036812455268467735,-3.8056773518595384e-05,-0.012555330991744995,TD3,sq_error,peach-violet-149
22,22,5.317864549353295e-07,0.025598225615534896,0.024868988716485397,-5.317864549353295e-07,-0.010947734117507935,TD3,sq_error,peach-violet-149
23,23,5.568387581867293e-05,0.01999548630149343,0.012533323356430322,-5.568387581867293e-05,-0.008806437253952026,TD3,sq_error,peach-violet-149
24,24,8.596650827188146e-05,0.009271812566692666,-7.6571373978539e-17,-8.596650827188146e-05,0.00020945072174072266,TD3,sq_error,peach-violet-149
25,25,4.175402222266057e-05,-0.006071588123332524,-0.012533323356430563,-4.175402222266057e-05,0.00975656509399414,TD3,sq_error,peach-violet-149
26,26,2.585460046401995e-06,-0.023261052136143566,-0.024868988716485588,-2.585460046401995e-06,0.016507327556610107,TD3,sq_error,peach-violet-149
27,27,1.5152668339511856e-05,-0.04070509811613733,-0.036812455268467915,-1.5152668339511856e-05,0.021637678146362305,TD3,sq_error,peach-violet-149
28,28,7.645363211718922e-05,-0.05691914417523086,-0.04817536741017166,-7.645363211718922e-05,0.024959981441497803,TD3,sq_error,peach-violet-149
29,29,0.0001677654607461731,-0.0717309559179704,-0.058778525229247404,-0.0001677654607461731,0.028034120798110962,TD3,sq_error,peach-violet-149
30,30,0.0002612117086105778,-0.08461675590311911,-0.06845471059286899,-0.0002612117086105778,0.030261874198913574,TD3,sq_error,peach-violet-149
31,31,0.00032824140656404394,-0.09516875805182103,-0.07705132427757905,-0.00032824140656404394,0.031646668910980225,TD3,sq_error,peach-violet-149
32,32,0.0003633481584255918,-0.10349448603282776,-0.08443279255020163,-0.0003633481584255918,0.03279304504394531,TD3,sq_error,peach-violet-149
33,33,0.00037420290011731344,-0.10982702999876938,-0.09048270524660205,-0.00037420290011731344,0.03384971618652344,TD3,sq_error,peach-violet-149
34,34,0.00036391739659234984,-0.11418227073753216,-0.09510565162951541,-0.00036391739659234984,0.0345005989074707,TD3,sq_error,peach-violet-149
35,35,0.00032877540031282077,-0.11636088987227498,-0.09822872507286891,-0.00032877540031282077,0.034391850233078,TD3,sq_error,peach-violet-149
36,36,0.0002719532274923774,-0.11629367728441221,-0.09980267284282718,-0.0002719532274923774,0.03362777829170227,TD3,sq_error,peach-violet-149
37,37,0.0002017121768604548,-0.1140052140541898,-0.09980267284282714,-0.0002017121768604548,0.032288044691085815,TD3,sq_error,peach-violet-149
38,38,0.00012865837601162223,-0.10957149263689933,-0.09822872507286884,-0.00012865837601162223,0.030413389205932617,TD3,sq_error,peach-violet-149
39,39,6.341192749548208e-05,-0.10306881227686396,-0.09510565162951531,-6.341192749548208e-05,0.02798512578010559,TD3,sq_error,peach-violet-149
40,40,9.497005219499912e-06,-0.09356442639224435,-0.09048270524660189,-9.497005219499912e-06,0.02351689338684082,TD3,sq_error,peach-violet-149
41,41,1.2130128331178684e-05,-0.0809499591733115,-0.08443279255020146,-1.2130128331178684e-05,0.01797059178352356,TD3,sq_error,peach-violet-149
42,42,0.0001463895947234849,-0.06495216750020451,-0.07705132427757891,-0.0001463895947234849,0.011035382747650146,TD3,sq_error,peach-violet-149
43,43,0.0004694217156622794,-0.046788568442908685,-0.06845471059286883,-0.0004694217156622794,0.004778474569320679,TD3,sq_error,peach-violet-149
44,44,0.000968694090953762,-0.02765467439176642,-0.05877852522924734,-0.000968694090953762,-0.0006025731563568115,TD3,sq_error,peach-violet-149
45,45,0.0015657368334111787,-0.008605974776329246,-0.048175367410171616,-0.0015657368334111787,-0.005058318376541138,TD3,sq_error,peach-violet-149
46,46,0.002079763872685502,0.00879197294508944,-0.036812455268467874,-0.002079763872685502,-0.0075966715812683105,TD3,sq_error,peach-violet-149
47,47,0.0022542399810781787,0.022609848475237795,-0.024868988716485622,-0.0022542399810781787,-0.007301360368728638,TD3,sq_error,peach-violet-149
48,48,0.001980385684766978,0.031968201165398696,-0.012533323356430643,-0.001980385684766978,-0.005204260349273682,TD3,sq_error,peach-violet-149
49,49,0.0014419443652225474,0.037972942541005854,-2.0212861992297212e-16,-0.0014419443652225474,-0.0039041340351104736,TD3,sq_error,peach-violet-149
50,50,0.0008622748417362865,0.04189784006854865,0.012533323356430155,-0.0008622748417362865,-0.003789186477661133,TD3,sq_error,peach-violet-149
51,51,0.00037194068410006486,0.044154752484095304,0.024868988716485144,-0.00037194068410006486,-0.0038151144981384277,TD3,sq_error,peach-violet-149
52,52,8.614837019282983e-05,0.046094069901322504,0.03681245526846741,-8.614837019282983e-05,-0.005399644374847412,TD3,sq_error,peach-violet-149
53,53,2.666253309440126e-07,0.04869172516497296,0.0481753674101711,-2.666253309440126e-07,-0.008271008729934692,TD3,sq_error,peach-violet-149
54,54,3.718906788196729e-05,0.05268024121798867,0.05877852522924686,-3.718906788196729e-05,-0.012294143438339233,TD3,sq_error,peach-violet-149
55,55,0.00011683972537547317,0.057645468002590856,0.06845471059286855,-0.00011683972537547317,-0.015982002019882202,TD3,sq_error,peach-violet-149
56,56,0.00020318776979392616,0.06279692952389207,0.0770513242775786,-0.00020318776979392616,-0.018724262714385986,TD3,sq_error,peach-violet-149
57,57,0.0002925026894089152,0.06733008254830632,0.0844327925502012,-0.0002925026894089152,-0.020342260599136353,TD3,sq_error,peach-violet-149
58,58,0.00038473697639518394,0.0708679919834621,0.09048270524660168,-0.00038473697639518394,-0.02128008008003235,TD3,sq_error,peach-violet-149
59,59,0.0004872275339133911,0.073032420467916,0.09510565162951513,-0.0004872275339133911,-0.02143639326095581,TD3,sq_error,peach-violet-149
60,60,0.0006009272160059232,0.07371490823407507,0.09822872507286873,-0.0006009272160059232,-0.02109798789024353,TD3,sq_error,peach-violet-149
61,61,0.0007165729367448908,0.07303379283740122,0.09980267284282712,-0.0007165729367448908,-0.02054387331008911,TD3,sq_error,peach-violet-149
62,62,0.0008189403875697366,0.07118553833271707,0.0998026728428272,-0.0008189403875697366,-0.01988750696182251,TD3,sq_error,peach-violet-149
63,63,0.0008840943473583533,0.0684950009980352,0.09822872507286903,-0.0008840943473583533,-0.019337892532348633,TD3,sq_error,peach-violet-149
64,64,0.0009007950182831127,0.06509240424968164,0.09510565162951565,-0.0009007950182831127,-0.018667936325073242,TD3,sq_error,peach-violet-149
