,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,algorithm,reward_type,run
0,101,101.0,-3.163928985595703,TD3,sq_error,peach-violet-149
1,202,101.0,-1.8129489421844482,TD3,sq_error,peach-violet-149
2,303,101.0,-1.2596559524536133,TD3,sq_error,peach-violet-149
3,404,101.0,-0.9685320258140564,TD3,sq_error,peach-violet-149
4,505,101.0,-0.7930799722671509,TD3,sq_error,peach-violet-149
5,606,101.0,-0.6726204752922058,TD3,sq_error,peach-violet-149
6,707,101.0,-0.5834514498710632,TD3,sq_error,peach-violet-149
7,808,101.0,-0.5116397738456726,TD3,sq_error,peach-violet-149
8,909,101.0,-0.45584365725517273,TD3,sq_error,peach-violet-149
9,1010,101.0,-0.411192387342453,TD3,sq_error,peach-violet-149
10,1111,101.0,-0.37649527192115784,TD3,sq_error,peach-violet-149
11,1212,101.0,-0.34715065360069275,TD3,sq_error,peach-violet-149
12,1313,101.0,-0.3230356276035309,TD3,sq_error,peach-violet-149
13,1414,101.0,-0.30037757754325867,TD3,sq_error,peach-violet-149
14,1515,101.0,-0.28129181265830994,TD3,sq_error,peach-violet-149
15,1616,101.0,-0.26408448815345764,TD3,sq_error,peach-violet-149
16,1717,101.0,-0.2558141052722931,TD3,sq_error,peach-violet-149
17,1818,101.0,-0.24222511053085327,TD3,sq_error,peach-violet-149
18,1919,101.0,-0.2312840074300766,TD3,sq_error,peach-violet-149
19,2020,101.0,-0.22053289413452148,TD3,sq_error,peach-violet-149
20,2121,101.0,-0.21184056997299194,TD3,sq_error,peach-violet-149
21,2222,101.0,-0.2036580890417099,TD3,sq_error,peach-violet-149
22,2323,101.0,-0.19491147994995117,TD3,sq_error,peach-violet-149
23,2424,101.0,-0.18857108056545258,TD3,sq_error,peach-violet-149
24,2525,101.0,-0.18293915688991547,TD3,sq_error,peach-violet-149
25,2626,101.0,-0.1770743429660797,TD3,sq_error,peach-violet-149
26,2727,101.0,-0.17102044820785522,TD3,sq_error,peach-violet-149
27,2828,101.0,-0.1653527468442917,TD3,sq_error,peach-violet-149
28,2929,101.0,-0.16038113832473755,TD3,sq_error,peach-violet-149
29,3030,101.0,-0.15554913878440857,TD3,sq_error,peach-violet-149
30,3131,101.0,-0.15139880776405334,TD3,sq_error,peach-violet-149
31,3232,101.0,-0.1471424102783203,TD3,sq_error,peach-violet-149
32,3333,101.0,-0.14380894601345062,TD3,sq_error,peach-violet-149
33,3434,101.0,-0.14100532233715057,TD3,sq_error,peach-violet-149
34,3535,101.0,-0.13723213970661163,TD3,sq_error,peach-violet-149
35,3636,101.0,-0.1338619738817215,TD3,sq_error,peach-violet-149
36,3737,101.0,-0.13048210740089417,TD3,sq_error,peach-violet-149
37,3838,101.0,-0.12741094827651978,TD3,sq_error,peach-violet-149
38,3939,101.0,-0.1252361536026001,TD3,sq_error,peach-violet-149
39,4040,101.0,-0.12261262536048889,TD3,sq_error,peach-violet-149
40,4141,101.0,-0.12003333866596222,TD3,sq_error,peach-violet-149
41,4242,101.0,-0.11735166609287262,TD3,sq_error,peach-violet-149
42,4343,101.0,-0.11598904430866241,TD3,sq_error,peach-violet-149
43,4444,101.0,-0.11366472393274307,TD3,sq_error,peach-violet-149
44,4545,101.0,-0.11165906488895416,TD3,sq_error,peach-violet-149
45,4646,101.0,-0.11001873761415482,TD3,sq_error,peach-violet-149
46,4747,101.0,-0.10874729603528976,TD3,sq_error,peach-violet-149
47,4848,101.0,-0.10679177194833755,TD3,sq_error,peach-violet-149
48,4949,101.0,-0.10587198287248611,TD3,sq_error,peach-violet-149
49,5050,101.0,-0.10427641868591309,TD3,sq_error,peach-violet-149
