,_step,episode_step,tracking_error,algorithm,reward_type,run
0,435,0,0.004891767006953578,DSAC,sq_error_da_a,pretty-grass-222
1,439,1,0.012014876985279728,DSAC,sq_error_da_a,pretty-grass-222
2,443,2,0.014768605249029693,DSAC,sq_error_da_a,pretty-grass-222
3,447,3,0.013338647302631875,DSAC,sq_error_da_a,pretty-grass-222
4,451,4,0.009890277098510127,DSAC,sq_error_da_a,pretty-grass-222
5,455,5,0.006344032048511272,DSAC,sq_error_da_a,pretty-grass-222
6,459,6,0.0035461055032660793,DSAC,sq_error_da_a,pretty-grass-222
7,463,7,0.0018830819688847153,DSAC,sq_error_da_a,pretty-grass-222
8,467,8,0.0011996857087592193,DSAC,sq_error_da_a,pretty-grass-222
9,471,9,0.0009727590208147936,DSAC,sq_error_da_a,pretty-grass-222
10,475,10,0.0009138986260773875,DSAC,sq_error_da_a,pretty-grass-222
11,479,11,0.0009485079240251817,DSAC,sq_error_da_a,pretty-grass-222
12,483,12,0.0009946372660755217,DSAC,sq_error_da_a,pretty-grass-222
13,487,13,0.001007684454943493,DSAC,sq_error_da_a,pretty-grass-222
14,491,14,0.0009917963677364178,DSAC,sq_error_da_a,pretty-grass-222
15,495,15,0.0009685584165940563,DSAC,sq_error_da_a,pretty-grass-222
16,499,16,0.0009424745737453495,DSAC,sq_error_da_a,pretty-grass-222
17,503,17,0.0009091757264612305,DSAC,sq_error_da_a,pretty-grass-222
18,507,18,0.0010309634560150905,DSAC,sq_error_da_a,pretty-grass-222
19,511,19,0.0014024523091786428,DSAC,sq_error_da_a,pretty-grass-222
20,515,20,0.0020519524203098387,DSAC,sq_error_da_a,pretty-grass-222
21,519,21,0.0030782292844405506,DSAC,sq_error_da_a,pretty-grass-222
22,523,22,0.004528701113444814,DSAC,sq_error_da_a,pretty-grass-222
23,527,23,0.006581502511207522,DSAC,sq_error_da_a,pretty-grass-222
24,531,24,0.009135290049908915,DSAC,sq_error_da_a,pretty-grass-222
25,535,25,0.011415604310811145,DSAC,sq_error_da_a,pretty-grass-222
26,539,26,0.01331971186387158,DSAC,sq_error_da_a,pretty-grass-222
27,543,27,0.01526717860310575,DSAC,sq_error_da_a,pretty-grass-222
28,547,28,0.017393337937856437,DSAC,sq_error_da_a,pretty-grass-222
29,551,29,0.019158817697507595,DSAC,sq_error_da_a,pretty-grass-222
30,555,30,0.02041290990411504,DSAC,sq_error_da_a,pretty-grass-222
31,559,31,0.02109229569668253,DSAC,sq_error_da_a,pretty-grass-222
32,563,32,0.021419967374307236,DSAC,sq_error_da_a,pretty-grass-222
33,567,33,0.021589561441860285,DSAC,sq_error_da_a,pretty-grass-222
34,571,34,0.021716319216088152,DSAC,sq_error_da_a,pretty-grass-222
35,575,35,0.021883058113599016,DSAC,sq_error_da_a,pretty-grass-222
36,579,36,0.02216111232582182,DSAC,sq_error_da_a,pretty-grass-222
37,583,37,0.02237762853417844,DSAC,sq_error_da_a,pretty-grass-222
38,587,38,0.022459820362560202,DSAC,sq_error_da_a,pretty-grass-222
39,591,39,0.02253148638861641,DSAC,sq_error_da_a,pretty-grass-222
40,595,40,0.02270752303502539,DSAC,sq_error_da_a,pretty-grass-222
41,599,41,0.023066239425822827,DSAC,sq_error_da_a,pretty-grass-222
42,603,42,0.02365682888211655,DSAC,sq_error_da_a,pretty-grass-222
43,607,43,0.024470418333826818,DSAC,sq_error_da_a,pretty-grass-222
44,611,44,0.02541347489155268,DSAC,sq_error_da_a,pretty-grass-222
45,615,45,0.026204791012764524,DSAC,sq_error_da_a,pretty-grass-222
46,619,46,0.026184464106198523,DSAC,sq_error_da_a,pretty-grass-222
47,623,47,0.024868751658764825,DSAC,sq_error_da_a,pretty-grass-222
48,627,48,0.02207797007404934,DSAC,sq_error_da_a,pretty-grass-222
49,631,49,0.018070438171139642,DSAC,sq_error_da_a,pretty-grass-222
50,635,50,0.013671036477567221,DSAC,sq_error_da_a,pretty-grass-222
51,639,51,0.00935323719704325,DSAC,sq_error_da_a,pretty-grass-222
52,643,52,0.005504075653210705,DSAC,sq_error_da_a,pretty-grass-222
53,647,53,0.002649256252335817,DSAC,sq_error_da_a,pretty-grass-222
54,651,54,0.0010243451326391517,DSAC,sq_error_da_a,pretty-grass-222
55,655,55,0.0003339191912099385,DSAC,sq_error_da_a,pretty-grass-222
56,659,56,6.752086228537882e-05,DSAC,sq_error_da_a,pretty-grass-222
57,663,57,8.848326805293672e-06,DSAC,sq_error_da_a,pretty-grass-222
58,667,58,4.8406187996670946e-08,DSAC,sq_error_da_a,pretty-grass-222
