,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
26,scarlet-sweep-174,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.6,0,{'runtime': 4},5.40168571472168,25.688384263139756,3.008790560684659,1685895950.4544268,22.679593702455097
27,super-sweep-173,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.5,0,{'runtime': 4},5.469336032867432,25.82480636811087,3.6447562153135262,1685895934.390151,22.180050152797342
28,electric-sweep-172,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.1,0,{'runtime': 1},1.9616479873657229,25.82480636811087,10000000000,1685895920.549131,-9999999974.175194
29,denim-sweep-171,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.4,0,{'runtime': 4},5.25727915763855,6.044273037905692,2.591116107014169,1685895907.610958,3.4531569308915233
30,lively-sweep-170,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.6,0,{'runtime': 4},5.361076831817627,25.82480636811087,5.065152231720374,1685895892.715046,20.759654136390495
31,noble-sweep-169,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.99,0.3,0,{'runtime': 4},5.235813140869141,6.044273037905692,3.165469100594493,1685895876.6289752,2.8788039373111993
32,whole-sweep-168,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.3,0,{'runtime': 4},5.530972957611084,25.688384263139756,4.032706748714043,1685895860.884541,21.65567751442571
33,gentle-sweep-167,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.8,0,{'runtime': 4},5.354407787322998,25.82480636811087,4.785932563403203,1685895844.7134058,21.038873804707663
34,sleek-sweep-166,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.2,0,{'runtime': 4},5.330002784729004,6.044273037905692,4.963741104759892,1685895828.704914,1.0805319331458003
35,sleek-sweep-165,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.1,0.4,0,{'runtime': 4},5.237651109695435,6.044273037905692,3.34184442080245,1685895813.620908,2.702428617103243
36,worldly-sweep-164,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.3,0.2,0,{'runtime': 4},5.4109930992126465,25.82480636811087,3.2868041898712432,1685895797.749758,22.538002178239623
37,exalted-sweep-163,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.8,0.7,0,{'runtime': 4},5.533869028091431,25.688384263139756,6.159633508714064,1685895781.730404,19.528750754425698
38,smart-sweep-162,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.2,0.8,0,{'runtime': 4},5.4686760902404785,25.82480636811087,4.99907835179115,1685895766.472734,20.82572801631972
39,smooth-sweep-161,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.6,0,{'runtime': 4},5.402634143829346,6.044273037905692,2.6057384237794916,1685895749.803244,3.4385346141262008
40,youthful-sweep-160,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,0,{'runtime': 4},5.296468019485474,25.688384263139756,3.307267474368289,1685895734.692487,22.381116788771468
41,vivid-sweep-159,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.99,0,{'runtime': 4},5.490936994552612,6.044273037905692,175.63452627963645,1685895718.862995,-169.59025324173075
42,scarlet-sweep-158,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.6,0,{'runtime': 4},5.35436224937439,25.688384263139756,3.83935445947595,1685895702.638476,21.849029803663807
43,hopeful-sweep-157,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.6,0,{'runtime': 4},5.321378707885742,25.82480636811087,4.705653528666506,1685895687.3577018,21.119152839444364
44,fragrant-sweep-156,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.5,0.9,0,{'runtime': 4},5.333734035491943,25.82480636811087,11.8596988171957,1685895671.3332071,13.96510755091517
45,drawn-sweep-155,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.9,0,{'runtime': 4},5.292282819747925,6.044273037905692,8.204038106810927,1685895656.132404,-2.1597650689052346
46,fanciful-sweep-154,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.1,0,{'runtime': 1},1.964846134185791,6.044273037905692,10000000000,1685895641.234167,-9999999993.955729
47,splendid-sweep-153,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.5,0,{'runtime': 4},5.234447956085205,25.82480636811087,3.2634838760752043,1685895628.578837,22.561322492035664
48,worldly-sweep-152,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.8,0,{'runtime': 4},5.19564414024353,6.044273037905692,3.265686246638501,1685895613.547466,2.7785867912671915
49,super-sweep-151,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.4,0,{'runtime': 4},5.393176078796387,25.82480636811087,2.685092931878065,1685895597.729588,23.139713436232807
50,major-sweep-150,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.2,0,{'runtime': 4},5.382136106491089,25.688384263139756,3.251089009461239,1685895581.544065,22.437295253678517
51,peachy-sweep-149,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.4,0.4,0,{'runtime': 4},5.294291019439697,25.82480636811087,2.660865349337406,1685895566.473,23.163941018773464
52,glad-sweep-148,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.3,0,{'runtime': 4},5.344746112823486,25.82480636811087,3.632762044275865,1685895550.551234,22.19204432383501
53,pretty-sweep-147,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.3,0.7,0,{'runtime': 4},5.318498134613037,6.044273037905692,4.655858379481625,1685895534.4880672,1.3884146584240673
54,glorious-sweep-146,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.7,0,{'runtime': 4},5.554440975189209,6.044273037905692,3.6984751266699063,1685895518.6346009,2.345797911235786
55,major-sweep-145,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.3,0.9,0,{'runtime': 4},5.272336006164551,6.044273037905692,8.20196251945664,1685895503.457834,-2.157689481550947
56,silvery-sweep-144,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.1,0,{'runtime': 2},3.141116142272949,6.044273037905692,10000000000,1685895490.136481,-9999999993.955729
57,copper-sweep-143,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.4,0.99,0,{'runtime': 4},5.306130886077881,25.688384263139756,147.5710992619281,1685895476.191419,-121.88271499878836
58,eager-sweep-142,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.2,0.6,0,{'runtime': 4},5.343350172042847,6.044273037905692,2.378094216516505,1685895461.26269,3.6661788213891873
59,distinctive-sweep-141,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.99,0.8,0,{'runtime': 4},5.628211975097656,6.044273037905692,3.908023390765767,1685895446.079309,2.1362496471399255
