,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb
26,kind-sweep-174,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.6,6.369746923446655,6.044273037905692,9.77054363109795,1685823730.924072,-3.7262705931922584,0,{'runtime': 5}
27,sweepy-sweep-173,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.8,0.99,6.636752128601074,6.044273037905692,228.8563145301192,1685823715.276278,-222.81204149221352,0,{'runtime': 6}
28,drawn-sweep-172,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.1,6.652077913284302,25.688384263139756,70.7766032608648,1685823699.49062,-45.08821899772505,0,{'runtime': 6}
29,balmy-sweep-171,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.99,0.2,6.621912002563477,6.044273037905692,3.890606538592092,1685823683.841058,2.1536664993136,0,{'runtime': 5}
30,treasured-sweep-170,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.3,6.462234020233154,25.688384263139756,9.148569702561856,1685823667.479668,16.539814560577902,0,{'runtime': 5}
31,colorful-sweep-169,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.1,0.8,6.282167911529541,6.044273037905692,5.55842413194649,1685823652.297083,0.4858489059592026,0,{'runtime': 5}
32,comfy-sweep-168,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.5,6.385123014450073,25.82480636811087,5.009203622752908,1685823636.376359,20.815602745357964,0,{'runtime': 5}
33,jolly-sweep-167,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.5,0.9,6.390711069107056,6.044273037905692,8.424797696770044,1685823619.851721,-2.380524658864352,0,{'runtime': 5}
34,generous-sweep-166,IDHPDSAC,0.8,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.9,0.7,6.228136777877808,25.688384263139756,8.317059996206268,1685823604.123762,17.371324266933488,0,{'runtime': 5}
35,wobbly-sweep-165,IDHPDSAC,0.8,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.9,0.6,6.328480005264282,6.044273037905692,9.643528537908512,1685823587.756024,-3.59925550000282,0,{'runtime': 5}
36,scarlet-sweep-164,IDHPDSAC,0.8,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.9,6.2616798877716064,25.82480636811087,6.949051860116613,1685823571.725823,18.87575450799426,0,{'runtime': 5}
