"train/step","dutiful-jazz-18 - _step","dutiful-jazz-18 - _step__MIN","dutiful-jazz-18 - _step__MAX","dutiful-jazz-18 - train/return","dutiful-jazz-18 - train/return__MIN","dutiful-jazz-18 - train/return__MAX","spring-monkey-16 - _step","spring-monkey-16 - _step__MIN","spring-monkey-16 - _step__MAX","spring-monkey-16 - train/return","spring-monkey-16 - train/return__MIN","spring-monkey-16 - train/return__MAX","wise-donkey-14 - _step","wise-donkey-14 - _step__MIN","wise-donkey-14 - _step__MAX","wise-donkey-14 - train/return","wise-donkey-14 - train/return__MIN","wise-donkey-14 - train/return__MAX","honest-fog-12 - _step","honest-fog-12 - _step__MIN","honest-fog-12 - _step__MAX","honest-fog-12 - train/return","honest-fog-12 - train/return__MIN","honest-fog-12 - train/return__MAX","sage-vortex-11 - _step","sage-vortex-11 - _step__MIN","sage-vortex-11 - _step__MAX","sage-vortex-11 - train/return","sage-vortex-11 - train/return__MIN","sage-vortex-11 - train/return__MAX"
"15999","15","15","15","-252.66571392176752","-252.66571392176752","-252.66571392176752","15","15","15","-125.7460932094377","-125.7460932094377","-125.7460932094377","15","15","15","-4.395764185749281","-4.395764185749281","-4.395764185749281","15","15","15","-241.52840527578547","-241.52840527578547","-241.52840527578547","15","15","15","-126.51359135419283","-126.51359135419283","-126.51359135419283"
"16999","16","16","16","-127.0002142246701","-127.0002142246701","-127.0002142246701","16","16","16","-128.6324153332801","-128.6324153332801","-128.6324153332801","16","16","16","-304.07483617439385","-304.07483617439385","-304.07483617439385","16","16","16","-130.79332307249226","-130.79332307249226","-130.79332307249226","16","16","16","-120.73544314049731","-120.73544314049731","-120.73544314049731"
"17999","17","17","17","-129.79852228530666","-129.79852228530666","-129.79852228530666","17","17","17","-242.43719434224724","-242.43719434224724","-242.43719434224724","17","17","17","-238.82630716840234","-238.82630716840234","-238.82630716840234","17","17","17","-234.72542714440493","-234.72542714440493","-234.72542714440493","17","17","17","-121.20276190479196","-121.20276190479196","-121.20276190479196"
"18999","18","18","18","-127.74031011787329","-127.74031011787329","-127.74031011787329","18","18","18","-241.578920861897","-241.578920861897","-241.578920861897","18","18","18","-132.57677549833636","-132.57677549833636","-132.57677549833636","18","18","18","-118.18915131197726","-118.18915131197726","-118.18915131197726","18","18","18","-116.36493629958059","-116.36493629958059","-116.36493629958059"
"19999","19","19","19","-237.75005388553063","-237.75005388553063","-237.75005388553063","19","19","19","-377.9120562156124","-377.9120562156124","-377.9120562156124","19","19","19","-250.73354785897757","-250.73354785897757","-250.73354785897757","19","19","19","-119.93958388448996","-119.93958388448996","-119.93958388448996","19","19","19","-128.73288248561818","-128.73288248561818","-128.73288248561818"
"20999","20","20","20","-6.227698670511416","-6.227698670511416","-6.227698670511416","20","20","20","-325.8986024608337","-325.8986024608337","-325.8986024608337","20","20","20","-125.34188713371762","-125.34188713371762","-125.34188713371762","20","20","20","-124.43050236414457","-124.43050236414457","-124.43050236414457","20","20","20","-126.46839179712197","-126.46839179712197","-126.46839179712197"
"21999","21","21","21","-260.4851124235926","-260.4851124235926","-260.4851124235926","21","21","21","-129.42091040909963","-129.42091040909963","-129.42091040909963","21","21","21","-248.26127895078818","-248.26127895078818","-248.26127895078818","21","21","21","-129.36783516658974","-129.36783516658974","-129.36783516658974","21","21","21","-123.27858668399014","-123.27858668399014","-123.27858668399014"
"22999","22","22","22","-124.54575651278947","-124.54575651278947","-124.54575651278947","22","22","22","-355.2756523178331","-355.2756523178331","-355.2756523178331","22","22","22","-246.85607799647346","-246.85607799647346","-246.85607799647346","22","22","22","-122.93649547655663","-122.93649547655663","-122.93649547655663","22","22","22","-251.7400717706542","-251.7400717706542","-251.7400717706542"
"23999","23","23","23","-129.53086263282947","-129.53086263282947","-129.53086263282947","23","23","23","-122.68745267126873","-122.68745267126873","-122.68745267126873","23","23","23","-134.6664250971597","-134.6664250971597","-134.6664250971597","23","23","23","-7.432389105433061","-7.432389105433061","-7.432389105433061","23","23","23","-121.11358657371537","-121.11358657371537","-121.11358657371537"
"24999","24","24","24","-129.89362348155638","-129.89362348155638","-129.89362348155638","24","24","24","-332.95559188053403","-332.95559188053403","-332.95559188053403","24","24","24","-11.13628196011452","-11.13628196011452","-11.13628196011452","24","24","24","-129.94808739799367","-129.94808739799367","-129.94808739799367","24","24","24","-131.20770710268863","-131.20770710268863","-131.20770710268863"
