,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp
26,electric-sweep-174,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.3,11.185523159696654,0,{'runtime': 5},6.2456488609313965,16.011297433609993,4.825774273913338,1685889966.2591228
27,stoic-sweep-173,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.6,12.952428540132686,0,{'runtime': 5},6.319007158279419,20.585377984797297,7.632949444664612,1685889950.356974
28,dulcet-sweep-172,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.4,7.605218896853199,0,{'runtime': 5},6.331727981567383,14.965543983462323,7.360325086609125,1685889934.381938
29,worthy-sweep-171,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.99,-274.6972435286908,0,{'runtime': 5},6.568588018417358,20.585377984797297,295.2826215134881,1685889919.679741
30,sunny-sweep-170,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.1,-9999999979.41462,0,{'runtime': 2},3.097831964492798,20.585377984797297,10000000000,1685889905.210774
31,glorious-sweep-169,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.1,-9999999983.988705,0,{'runtime': 3},3.687177896499634,16.011297433609993,10000000000,1685889894.915107
32,fresh-sweep-168,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.4,0.2,11.007662981308052,0,{'runtime': 5},6.430197238922119,16.011297433609993,5.003634452301942,1685889881.6536582
33,divine-sweep-167,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.3,0.6,13.07887015441722,0,{'runtime': 5},6.317529201507568,20.585377984797297,7.506507830380076,1685889865.551994
34,ethereal-sweep-166,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.6,7.290395867049789,0,{'runtime': 5},6.387765169143677,14.965543983462323,7.675148116412535,1685889850.6123142
35,twilight-sweep-165,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.5,9.208928995714675,0,{'runtime': 5},6.518604040145874,14.965543983462323,5.756614987747647,1685889834.540332
36,fragrant-sweep-164,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.7,6.649847494347105,0,{'runtime': 5},6.30108904838562,16.011297433609993,9.361449939262888,1685889818.352083
37,visionary-sweep-163,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.9,8.174376545734699,0,{'runtime': 5},6.362816095352173,20.585377984797297,12.411001439062598,1685889803.2650082
38,effortless-sweep-162,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.8,11.60643830066718,0,{'runtime': 5},6.297523021697998,16.011297433609993,4.404859132942815,1685889787.127445
39,gentle-sweep-161,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.99,NaN,0,{'runtime': 4},5.2220659255981445,14.965543983462323,NaN,1685889770.152019
40,magic-sweep-160,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.5,0.4,12.080451776762956,0,{'runtime': 5},6.349953889846802,16.011297433609993,3.930845656847037,1685889750.175118
