,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae
26,golden-sweep-174,IDHPDSAC,0.2,0.1,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,4.181168316657921,1685808417.125373,1.8631047212477716,0,{'runtime': 5},5.8904688358306885,6.044273037905692
27,sweepy-sweep-173,IDHPDSAC,0.3,0.9,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808402.014147,-9999999974.311617,0,{'runtime': 0},1.3389041423797607,25.688384263139756
28,stellar-sweep-172,IDHPDSAC,0.01,5e-05,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,15.521958606551037,1685808390.461578,10.302847761559834,0,{'runtime': 5},5.676621913909912,25.82480636811087
29,exalted-sweep-171,IDHPDSAC,0.9,0.9,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808375.723082,-9999999974.311617,0,{'runtime': 0},1.266066074371338,25.688384263139756
30,polar-sweep-170,IDHPDSAC,0.8,0.7,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808365.517356,-9999999974.311617,0,{'runtime': 0},1.454624891281128,25.688384263139756
31,iconic-sweep-169,IDHPDSAC,0.005,0.0005,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10.564736217962484,1685808353.613824,15.123648045177273,0,{'runtime': 5},5.699207782745361,25.688384263139756
32,rural-sweep-168,IDHPDSAC,0.2,0.1,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,12.136082626359046,1685808338.693119,-6.091809588453354,0,{'runtime': 5},5.812582015991211,6.044273037905692
33,royal-sweep-167,IDHPDSAC,0.6,0.8,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808322.721243,-9999999974.311617,0,{'runtime': 0},1.2789537906646729,25.688384263139756
34,dulcet-sweep-166,IDHPDSAC,0.0005,1e-05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,29.648602890118724,1685808312.220068,-3.960218626978968,0,{'runtime': 5},5.75117301940918,25.688384263139756
35,absurd-sweep-165,IDHPDSAC,0.6,5e-05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,3.1524014127433353,1685808295.888384,22.535982850396422,0,{'runtime': 5},5.622222185134888,25.688384263139756
36,hopeful-sweep-164,IDHPDSAC,0.7,0.7,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808281.217133,-9999999993.955729,0,{'runtime': 0},1.31758713722229,6.044273037905692
37,dainty-sweep-163,IDHPDSAC,0.2,0.4,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,4.9169121642687035,1685808269.669706,20.77147209887105,0,{'runtime': 5},5.90753698348999,25.688384263139756
38,prime-sweep-162,IDHPDSAC,0.3,0.005,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,12.310778728652412,1685808253.763873,-6.26650569074672,0,{'runtime': 5},6.095339059829712,6.044273037905692
39,hardy-sweep-161,IDHPDSAC,0.0005,0.01,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,41.84653127586479,1685808237.60972,-16.02172490775392,0,{'runtime': 5},5.821981906890869,25.82480636811087
40,desert-sweep-160,IDHPDSAC,0.0005,0.05,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,49.54573340074393,1685808222.361032,-43.50146036283824,0,{'runtime': 4},5.529933929443359,6.044273037905692
41,icy-sweep-159,IDHPDSAC,5e-05,0.8,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808206.991468,-9999999974.311617,0,{'runtime': 0},1.305798053741455,25.688384263139756
42,devout-sweep-158,IDHPDSAC,0.6,0.9,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808196.368507,-9999999974.175194,0,{'runtime': 0},1.2082757949829102,25.82480636811087
43,effortless-sweep-157,IDHPDSAC,5e-05,0.9,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808186.270659,-9999999974.175194,0,{'runtime': 0},1.2871570587158203,25.82480636811087
44,likely-sweep-156,IDHPDSAC,0.3,0.5,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808175.2318132,-9999999993.955729,0,{'runtime': 0},1.372016191482544,6.044273037905692
45,polar-sweep-155,IDHPDSAC,5e-05,0.01,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,33.391425441527645,1685808164.235268,-7.703041178387888,0,{'runtime': 4},5.333163022994995,25.688384263139756
46,scarlet-sweep-154,IDHPDSAC,1e-05,0.9,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808149.641641,-9999999974.311617,0,{'runtime': 0},1.351835012435913,25.688384263139756
47,proud-sweep-153,IDHPDSAC,0.05,0.4,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,5.225015553447051,1685808137.145205,20.463368709692705,0,{'runtime': 4},5.051407098770142,25.688384263139756
48,dutiful-sweep-152,IDHPDSAC,0.6,0.7,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808123.148602,-9999999974.311617,0,{'runtime': 0},1.2180840969085691,25.688384263139756
49,curious-sweep-151,IDHPDSAC,0.4,5e-05,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,3.145620861582737,1685808111.264579,22.542763401557018,0,{'runtime': 4},5.451264142990112,25.688384263139756
50,pretty-sweep-150,IDHPDSAC,0.005,0.1,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.6,15.533550825940138,1685808095.4139478,-9.489277788034446,0,{'runtime': 4},5.557735919952393,6.044273037905692
51,fallen-sweep-149,IDHPDSAC,0.7,0.8,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,10000000000,1685808080.96689,-9999999974.311617,0,{'runtime': 0},1.2193870544433594,25.688384263139756
52,autumn-sweep-148,IDHPDSAC,0.01,0.9,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.6,6.151043662246032,1685808069.03378,19.537340600893724,0,{'runtime': 4},5.3982157707214355,25.688384263139756
