,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,online/phi_ref,citation_states/xe,citation_states/psi,eval/nmae,sac_improvement,learning/rewards,eval/phi_sq_error,citation_states/phi,citation_states/alpha,eval/de,eval/reward,eval/beta_ref,online_states/r,online/action_dr,citation_states/theta,eval/phi,citation_states/p,online_states/phi,online_states/psi,citation_states/step,train/step,online_states/q,online/nmae,online_states/he,online/phi_sq_error,online_states/xe,online_states/step,citation_states/beta,_runtime,online_states/V,online_states/ye,online_states/alpha,online/beta_ref,citation_inputs/da,_wandb,eval/beta,sac_hybrid,online/beta,learning/step,online/action_de,citation_states/r,citation_states/he,eval/dr,sac_only,_timestamp,eval/phi_ref,online/action_da,eval/beta_sq_error,online_states/theta,online_states/p,citation_states/q,eval/theta,online/phi,online/step,actor/idhp_w_1,actor/idhp_w_2,online/theta,citation_inputs/dr,eval/theta_sq_error,online/beta_sq_error,online/mean_error,online_states/beta,_step,eval/step,actor/idhp_w_0,eval/theta_ref,citation_states/V,online/theta_ref,citation_inputs/de,citation_inputs/step,citation_states/ye,online/theta_sq_error,eval/da
0,vibrant-sweep-45,5,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,-0.1866243304896529,5248.832835771558,-1.901013773475261,0.25436821131807064,21.026651903304774,-0.020350129902321903,0.0035478026307937303,-0.2167766448256852,0.05826640702843494,-0.047158896923065186,-0.10641382375215017,0,-0.02600916271726383,0.027807176113128666,-0.004119945027815706,-0.2167766448256852,0.08253416443931301,-0.22093499351970927,-0.04663073939505504,9950,9950,-0.002113904462256908,0.04410169228502289,1505.1695068946365,0.004293989484275277,8859.103516198153,9950,0.11948732241774652,11.894061088562012,89.02260797183361,536.8338779521928,0.054643954126946045,0,-0.050727784633636475,{'runtime': 11},-0.004119945027815706,4.410169228502289,0.01599403376361539,9950,-0.024667978286743164,-0.04489594493846209,1483.0072915518476,0.2013532817363739,25.436821131807065,1686050176.49141,-0.1845515065112372,-0.028995633125305176,0.0009906165529270376,0.01599403376361539,0.1151118501382851,0.01162259558061769,0.11948732241774652,-0.22093499351970927,9950,0.0,-6.509484956040978e-05,0.017576581089162248,0.2013532817363739,0.05207705466001451,0.014929276275549417,0.00641991671668568,0.017576581089162248,9580,9950,0.9993593096733092,0.0,88.88718960815251,0.0,-0.047158896923065186,9950,-5690.8911367772325,0.0011268641424972106,-0.050727784633636475
1,electric-sweep-44,5,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_fixed_sin,0.8,0.8,-0.02748775933618656,4997.179744094879,-1.9070869684555103,0.27429397735965705,15.731263633634788,-0.002826107412487158,0.0019684298617660165,-0.05019732197722156,0.054286375025239746,-0.04258525371551514,-0.11249426656887346,0,-0.015602746099948472,-0.030917197465896606,0.001074718458362821,-0.05019732197722156,0.04834791467204391,-0.04070671367755866,0.07081644130344003,9950,9950,0.0013033602249491912,0.11698134102330916,1503.0109386200495,0.0006373778404897117,8866.450680305903,9950,0.1222093849011995,11.82061219215393,89.29350714810907,312.91084239914505,0.05371706336474853,0,-0.04350227117538452,{'runtime': 11},0.001074718458362821,11.698134102330917,-0.005866000202797854,9950,-0.024986356496810913,-0.027403491663858724,1492.0699627368963,0.20018747448921204,27.429397735965704,1686050155.2059882,-0.02644481602307201,-0.002053976058959961,6.740811054393681e-05,-0.005866000202797854,0.05110477964299563,0.0007308325650627477,0.1222093849011995,-0.04070671367755866,9950,5.503143256646581e-05,0.0003616729227360338,-0.034522907186933176,0.20018747448921204,0.08117118084567762,0.002008199642150363,0.007276864377059598,-0.034522907186933176,9580,9950,1.000522494316101,-0.02644481602307201,88.95920600125908,-0.02748775933618656,-0.04258525371551514,9950,-5867.19137663915,0.00018052992984708363,-0.04350227117538452
2,prime-sweep-43,5,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_hold,0.8,0.8,0.0,5034.319148684257,-1.8847010344288773,0.1886688399879441,15.755963900885806,-6.14986420167268e-05,5.25189647159662e-06,0.0011999321801452834,0.056106606127753034,-0.0459781289100647,-0.06445329339479244,0,-0.00399873825419151,0.05667567253112793,0.0006539412956999588,0.0011999321801452834,9.760442531608303e-06,-0.0030238451121664695,-0.414836339657192,9950,9950,1.2492878106385377e-05,0.031109200979085996,1509.3700420668818,3.3351996703038835e-05,8664.380304401877,9950,0.1323338841913152,11.68290901184082,89.206109550501,-1543.813659752171,0.05370922820791798,0,-0.0359920859336853,{'runtime': 11},0.0006539412956999588,3.1109200979085996,-0.0006149347311861469,9950,-0.02470335364341736,-0.01818435459650189,1494.712765588372,0.21051648259162903,18.866883998794407,1686050133.643785,0.0,-0.009908020496368408,2.495745317497581e-05,-0.0006149347311861469,-2.7582128160083475e-06,-1.834688436807434e-05,0.1323338841913152,-0.0030238451121664695,9950,3.0354989576153457e-05,0.0,0.036197416960042306,0.21051648259162903,0.03462295107595133,2.2068904887463465e-05,0.003491141659581441,0.036197416960042306,9580,9950,0.9999735355377196,0.03490658503988659,88.99579202888562,0.03490658503988659,-0.0459781289100647,9950,-5886.831186225673,6.0777404262245e-06,-0.0359920859336853
3,different-sweep-42,4,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,-0.1866243304896529,5248.832835771558,-1.901013773475261,0.25436821131807064,22.24023142556642,-0.0028166522127253298,0.0035478026307937303,-0.2167766448256852,0.05826640702843494,-0.047158896923065186,-0.10641382375215017,0,-0.030424233683052047,0.01886081695556641,-0.004119945027815706,-0.2167766448256852,0.08253416443931301,-0.21168902572985596,-0.005113178933293921,9950,9950,0.010696919064290333,0.03196589706240644,1510.1551559375666,0.0022915408956955675,8836.206146241539,9950,0.11948732241774652,11.786895036697388,89.3283548705265,666.4238704541442,0.05883672372246471,0,-0.050727784633636475,{'runtime': 11},-0.004119945027815706,3.196589706240644,-0.0025152357163139853,9950,-0.02812749147415161,-0.04489594493846209,1483.0072915518476,0.2013532817363739,25.436821131807065,1686050112.286682,-0.1845515065112372,-0.023907363414764404,0.0009906165529270376,-0.0025152357163139853,0.10343457328579554,0.01162259558061769,0.11948732241774652,-0.21168902572985596,9950,0.0,-4.867563984589651e-05,0.006537559002182804,0.2013532817363739,0.05207705466001451,0.0003692156666141342,0.0041942608134206685,0.006537559002182804,9580,9950,0.9993816018104552,0.0,88.88718960815251,0.0,-0.047158896923065186,9950,-5690.8911367772325,0.00015589565041562817,-0.050727784633636475
4,breezy-sweep-41,4,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_fixed_sin,0.8,0.8,-0.02748775933618656,4997.179744094879,-1.9070869684555103,0.27429397735965705,17.003371992097385,-0.00042350174730630826,0.0019684298617660165,-0.05019732197722156,0.054286375025239746,-0.04258525371551514,-0.11249426656887346,0,-0.01291799919926607,-0.0327276885509491,0.001074718458362821,-0.05019732197722156,0.04834791467204391,-0.035281313803062965,0.05667205985079623,9950,9950,-0.002042668570825002,0.1042602574386832,1503.756615488144,0.0002215510972225737,8865.58292473153,9950,0.1222093849011995,11.837489128112791,89.20532653104613,220.23467113446895,0.05270812237574858,0,-0.04350227117538452,{'runtime': 11},0.001074718458362821,10.42602574386832,-0.0007966061131294978,9950,-0.023783981800079346,-0.027403491663858724,1492.0699627368963,0.20018747448921204,27.429397735965704,1686050091.085715,-0.02644481602307201,-0.0016762018203735352,6.740811054393681e-05,-0.0007966061131294978,0.04875841366597761,0.0007308325650627477,0.1222093849011995,-0.035281313803062965,9950,9.810999017645372e-07,0.0,-0.03421179209680541,0.20018747448921204,0.08117118084567762,3.703480034695421e-05,0.005757938361620507,-0.03421179209680541,9580,9950,1.0003786087036133,-0.02644481602307201,88.95920600125908,-0.02748775933618656,-0.04258525371551514,9950,-5867.19137663915,0.00016491584973678036,-0.04350227117538452
5,fanciful-sweep-40,4,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_hold,0.8,0.8,0.0,5034.319148684257,-1.8847010344288773,0.1886688399879441,16.321007389876897,-8.831433558079877e-05,5.25189647159662e-06,0.0011999321801452834,0.056106606127753034,-0.0459781289100647,-0.06445329339479244,0,-0.0035548838661621424,0.05444002151489258,0.0006539412956999588,0.0011999321801452834,9.760442531608303e-06,-0.0003598820250651616,-0.3618062297419464,9950,9950,1.130797099976749e-06,0.025458766089175095,1525.6984968277648,4.724143340765948e-07,8717.342840082396,9950,0.1323338841913152,12.64339303970337,89.19240508086874,-1303.273714447893,0.05385030937036235,0,-0.0359920859336853,{'runtime': 11},0.0006539412956999588,2.5458766089175096,0.0012265396350449886,9950,-0.02475687861442566,-0.01818435459650189,1494.712765588372,0.21051648259162903,18.866883998794407,1686050070.647914,0.0,-0.00951552391052246,2.495745317497581e-05,0.0012265396350449886,4.897521576049708e-06,-1.834688436807434e-05,0.1323338841913152,-0.0003598820250651616,9950,1.7577600374352187e-05,0.0,0.034797178285183396,0.21051648259162903,0.03462295107595133,8.77982605132645e-05,0.0040033179917129385,0.034797178285183396,9580,9950,0.9998689889907836,0.03490658503988659,88.99579202888562,0.03490658503988659,-0.0459781289100647,9950,-5886.831186225673,4.366073345767557e-08,-0.0359920859336853
6,trim-sweep-39,3,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,-0.1866243304896529,5248.832835771558,-1.901013773475261,0.25436821131807064,22.471780475233512,-0.0025517306408379572,0.0035478026307937303,-0.2167766448256852,0.05826640702843494,-0.047158896923065186,-0.10641382375215017,0,-0.02148782304731142,0.013032406568527222,-0.004119945027815706,-0.2167766448256852,0.08253416443931301,-0.1609698267980335,0.11110083373173488,9950,9950,0.008250341796632225,0.029650406565735532,1510.962474100367,0.002400656316606181,8788.177810152072,9950,0.11948732241774652,12.483283281326294,89.30641590565666,1109.8542137412016,0.058472328404694233,0,-0.050727784633636475,{'runtime': 11},-0.004119945027815706,2.965040656573553,0.00035629808536157605,9950,-0.02733650803565979,-0.04489594493846209,1483.0072915518476,0.2013532817363739,25.436821131807065,1686050049.4058292,-0.1845515065112372,-0.022314488887786865,0.0009906165529270376,0.00035629808536157605,0.09312751732722702,0.01162259558061769,0.11948732241774652,-0.1609698267980335,9950,0.0,-8.07672186056152e-05,0.006275883248518621,0.2013532817363739,0.05207705466001451,7.408831457940533e-06,0.00493131279195769,0.006275883248518621,9580,9950,0.9993827939033508,0.0,88.88718960815251,0.0,-0.047158896923065186,9950,-5690.8911367772325,0.0001436654927738356,-0.050727784633636475
7,swept-sweep-38,3,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_fixed_sin,0.8,0.8,-0.02748775933618656,4997.179744094879,-1.9070869684555103,0.27429397735965705,15.863403292469744,-0.0026181997502908155,0.0019684298617660165,-0.05019732197722156,0.054286375025239746,-0.04258525371551514,-0.11249426656887346,0,-0.015928808399984735,-0.030616074800491333,0.001074718458362821,-0.05019732197722156,0.04834791467204391,-0.05052813452148181,-0.02052366828587498,9950,9950,0.00020060891976282457,0.1156599444349596,1505.640035273315,0.0019363410341290603,8865.226582660594,9950,0.1222093849011995,12.47319722175598,89.25422027325284,-21.33880234706128,0.053542247603601587,0,-0.04350227117538452,{'runtime': 11},0.001074718458362821,11.56599444349596,-0.0029510879910958792,9950,-0.02469480037689209,-0.027403491663858724,1492.0699627368963,0.20018747448921204,27.429397735965704,1686050028.0223732,-0.02644481602307201,-0.0018480420112609863,6.740811054393681e-05,-0.0029510879910958792,0.05008997801677339,0.0007308325650627477,0.1222093849011995,-0.05052813452148181,9950,-1.0440967344038654e-05,-6.506912768600159e-07,-0.03438650655576196,0.20018747448921204,0.08117118084567762,0.0005082613149329412,0.006828435401858201,-0.03438650655576196,9580,9950,1.000240921974182,-0.02644481602307201,88.95920600125908,-0.02748775933618656,-0.04258525371551514,9950,-5867.19137663915,0.0001735974012288138,-0.04350227117538452
8,atomic-sweep-37,3,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_hold,0.8,0.8,0.0,5034.319148684257,-1.8847010344288773,0.1886688399879441,16.238950412783694,-7.928506171565704e-05,5.25189647159662e-06,0.0011999321801452834,0.056106606127753034,-0.0459781289100647,-0.06445329339479244,0,-0.003702569703120753,0.05498671531677246,0.0006539412956999588,0.0011999321801452834,9.760442531608303e-06,-0.0012998734337355629,-0.3760824403093387,9950,9950,4.918562567685737e-06,0.02627933586010713,1504.5433685195644,6.163180559457831e-06,8706.716859976472,9950,0.1323338841913152,12.592047214508057,89.21310624593534,-1362.0901046422816,0.05363740770244804,0,-0.0359920859336853,{'runtime': 11},0.0006539412956999588,2.627933586010713,-0.0011178150071828735,9950,-0.02451196312904358,-0.01818435459650189,1494.712765588372,0.21051648259162903,18.866883998794407,1686050006.6148071,0.0,-0.009611308574676514,2.495745317497581e-05,-0.0011178150071828735,-3.686622048592147e-06,-1.834688436807434e-05,0.1323338841913152,-0.0012998734337355629,9950,1.4022014511283489e-05,0.0,0.03514027852812409,0.21051648259162903,0.03462295107595133,7.292267810893331e-05,0.003555447798511454,0.03514027852812409,9580,9950,0.999878466129303,0.03490658503988659,88.99579202888562,0.03490658503988659,-0.0459781289100647,9950,-5886.831186225673,1.992030472659028e-07,-0.0359920859336853
9,rare-sweep-36,2,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.8,0.8,-0.1866243304896529,5248.832835771558,-1.901013773475261,0.25436821131807064,22.031935567987873,-0.002338118325843412,0.0035478026307937303,-0.2167766448256852,0.05826640702843494,-0.047158896923065186,-0.10641382375215017,0,-0.030079406447900588,0.01759195327758789,-0.004119945027815706,-0.2167766448256852,0.08253416443931301,-0.20845306120727136,0.0035077074442931397,9950,9950,0.011702094562340098,0.03404885563819194,1512.361303166968,0.001738039819390268,8837.473372711756,9950,0.11948732241774652,12.955237865447998,89.38802748986386,647.181468263984,0.05949450386719939,0,-0.050727784633636475,{'runtime': 12},-0.004119945027815706,3.404885563819194,-0.0028659051423575404,9950,-0.02873086929321289,-0.04489594493846209,1483.0072915518476,0.2013532817363739,25.436821131807065,1686049985.308019,-0.1845515065112372,-0.023499608039855957,0.0009906165529270376,-0.0028659051423575404,0.10450522696731196,0.01162259558061769,0.11948732241774652,-0.20845306120727136,9950,0.0,-0.00012019039422739296,0.005753288895478329,0.2013532817363739,0.05207705466001451,0.00047934296896771954,0.004935182842912908,0.005753288895478329,9580,9950,0.9992058873176576,0.0,88.88718960815251,0.0,-0.047158896923065186,9950,-5690.8911367772325,0.00012073553748542436,-0.050727784633636475
