,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae
26,graceful-sweep-174,IDHPSAC,0.0001,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685810017.840298,-12.406825272035796,0.0,{'runtime': 5},6.222683906555176,20.585377984797297,32.99220325683309
27,robust-sweep-173,IDHPSAC,0.0001,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685810002.745781,-27.413175407362992,0.0,{'runtime': 5},6.26017689704895,14.965543983462323,42.37871939082532
28,fast-sweep-172,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809986.466749,13.871707053340645,0.0,{'runtime': 5},6.164240837097168,20.585377984797297,6.7136709314566545
29,dainty-sweep-171,IDHPSAC,5e-05,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809970.475741,-103.2094070253318,0.0,{'runtime': 5},6.151745796203613,16.011297433609993,119.2207044589418
30,jumping-sweep-170,IDHPSAC,0.2,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809954.599311,7.881079365281725,0.0,{'runtime': 5},6.233804225921631,14.965543983462323,7.084464618180599
31,pleasant-sweep-169,IDHPSAC,0.0005,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809939.462979,-13.675069332666403,0.0,{'runtime': 5},6.222159147262573,20.585377984797297,34.2604473174637
32,earnest-sweep-168,IDHPSAC,0.5,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809923.5372128,14.511752605196854,0.0,{'runtime': 5},6.28849196434021,20.585377984797297,6.0736253796004425
33,vague-sweep-167,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809907.322152,13.427977635619143,0.0,{'runtime': 5},6.101903915405273,20.585377984797297,7.157400349178153
34,different-sweep-166,IDHPSAC,5e-05,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809892.265578,-28.076994964543168,0.0,{'runtime': 5},6.15608811378479,14.965543983462323,43.04253894800549
35,laced-sweep-165,IDHPSAC,0.9,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809876.257278,9.647071616539511,0.0,{'runtime': 5},6.2492148876190186,16.011297433609993,6.364225817070479
36,fragrant-sweep-164,IDHPSAC,0.005,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809860.274406,-2.850857943906058,0.0,{'runtime': 5},6.253206014633179,14.965543983462323,17.816401927368382
37,grateful-sweep-163,IDHPSAC,0.05,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809844.118502,9.351697475248896,0.0,{'runtime': 5},6.124616861343384,20.585377984797297,11.2336805095484
38,valiant-sweep-162,IDHPSAC,0.01,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809829.451343,-3.106133116729943,0.0,{'runtime': 5},6.551411151885986,20.585377984797297,23.69151110152724
39,sparkling-sweep-161,IDHPSAC,0.001,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809813.2441752,-11.52203398365841,0.0,{'runtime': 5},6.37604022026062,20.585377984797297,32.10741196845571
40,cool-sweep-160,IDHPSAC,0.2,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809797.1500092,13.739895282956642,0.0,{'runtime': 5},6.27918815612793,20.585377984797297,6.845482701840655
41,sleek-sweep-159,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809781.298521,7.008958928334545,0.0,{'runtime': 5},6.451894998550415,16.011297433609993,9.002338505275448
42,blooming-sweep-158,IDHPSAC,0.6,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809765.898516,16.277987173856218,0.0,{'runtime': 5},6.350905895233154,20.585377984797297,4.307390810941079
