,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,online/beta_ref,online_states/step,citation_states/alpha,_runtime,train/step,online/beta,learning/step,actor/idhp_w_1,eval/theta_sq_error,online_states/alpha,eval/phi,eval/phi_ref,learning/rewards,citation_states/q,citation_states/he,citation_states/phi,_step,eval/reward,online/nmae,online/theta,online/mean_error,eval/de,eval/beta_sq_error,citation_states/theta,online/phi,online_states/q,online_states/ye,online_states/phi,citation_inputs/da,online/theta_ref,citation_inputs/step,eval/theta_ref,online_states/V,online/action_de,online_states/he,online/phi_ref,online_states/xe,online_states/psi,eval/nmae,online_states/r,sac_improvement,online/action_da,online/action_dr,sac_hybrid,eval/beta_ref,actor/idhp_w_0,citation_states/ye,citation_states/p,citation_inputs/dr,sac_only,eval/beta,_timestamp,eval/theta,citation_states/V,eval/da,citation_inputs/de,online_states/theta,citation_states/step,online_states/beta,citation_states/psi,online/phi_sq_error,online/beta_sq_error,citation_states/xe,online/theta_sq_error,eval/dr,actor/idhp_w_2,online_states/p,citation_states/r,eval/phi_sq_error,_wandb,eval/step,online/step,citation_states/beta
0,flowing-sweep-45,5,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0,9950,0.06024837294248867,12.909425973892212,9950,0.012553268142286416,9950,4.081803490407765e-05,0.025520811313018185,0.054234326486067304,-0.2252325273652337,-0.1845515065112372,-0.01164077650405723,0.01172509292928092,1557.7876881302102,-0.2252325273652337,9580,-0.0999725958544049,0.05178045501166401,0.02517075681266869,0.00843527925632409,-0.0392661988735199,0.004154120135425781,0.008436807828733538,-0.19266298243564992,-0.001357545707454159,-169.16211041445595,-0.19266298243564992,-0.03952932357788086,0.0,9950,0.0,89.04009043939979,-0.024950534105300903,1511.8063099644007,-0.1866243304896529,8885.535949582038,-0.13047664892130484,0.19578358831301204,-0.024989328080630854,14.400313330134804,-0.030771195888519287,0.03563207387924194,5.178045501166402,0,1.0002245903015137,-3919.626797021445,0.07355404321590944,0.14325222373008728,19.578358831301205,0.008436807828733538,1686050070.205013,0.08364613155269965,88.92762515713403,-0.03952932357788086,-0.0392661988735199,0.012553268142286416,9950,0.02517075681266869,-1.165912851410324,0.0001330095280770595,0.009196791680527318,7476.443265213334,0.0023109752954528534,0.14325222373008728,0.00024143088376149535,0.11389109702313076,-0.03741847003057491,0.005732455298753615,{'runtime': 12},9950,9950,0.08364613155269965
1,fast-sweep-44,5,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_fixed_sin,0.8,0.8,0,9950,0.05451062669581839,12.764189958572388,9950,-0.003710816869005089,9950,-7.61139381211251e-05,0.02940112939491924,0.05519090210807591,-0.03675715567247375,-0.02644481602307201,-0.004446691453338039,0.0012227057428023974,1548.660352587055,-0.03675715567247375,9580,-0.08761918053065956,0.15601339103435993,-0.046156765502349054,0.009491384934201236,-0.029333561658859253,0.005284098137538982,0.009515334684409389,-0.0529873932315232,0.003211143724044254,-1541.1754218236854,-0.0529873932315232,-0.02599877119064331,-0.02748775933618656,9950,-0.02644481602307201,89.28820911085998,-0.025600790977478027,1496.279522173387,-0.02748775933618656,8722.605966424133,-0.15047688649456978,0.21118808458854177,-0.012235987375659296,5.517469355418182,0.0029486417770385742,-0.04595053195953369,15.601339103435992,0,0.9999991655349731,-4113.1702066231655,0.03942706532688262,0.13341262936592102,21.118808458854176,0.009515334684409389,1686050049.029865,0.06281339252422767,89.07269526168358,-0.02599877119064331,-0.029333561658859253,-0.003710816869005089,9950,-0.046156765502349054,-1.0978536146165412,0.0023717594834986046,0.0008036404393526819,7392.457341416811,0.0012712915304867523,0.13341262936592102,-0.00033095659455284476,0.039289116408761045,-0.03743291186640709,0.0003496213308692764,{'runtime': 12},9950,9950,0.06281339252422767
2,hearty-sweep-43,5,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_hold,0.8,0.8,0,9950,0.05567405342638477,12.6713969707489,9950,-0.0007513222761776474,9950,-0.0003695352061185986,0.017847470328638995,0.053998274294310374,0.0058097496589870285,0.0,-8.01951675336231e-05,-7.648086552946422e-05,1552.4161656731335,0.0058097496589870285,9580,-0.06697668295027533,0.06398513937776747,0.036213829601854,0.04375253539296045,-0.038586825132369995,0.0031629173050719737,0.00736177516645433,-0.0033534026845018234,1.4599955726776982e-05,-1389.2678454540753,-0.0033534026845018234,-0.02850264310836792,0.03490658503988659,9950,0.03490658503988659,89.21257843024003,-0.024860769510269165,1547.928402298196,0.0,8719.296396799678,-0.3847812438874289,0.15848010253179978,-0.0040220407721552635,9.449496315403232,-0.009912431240081789,0.05671784281730652,6.398513937776746,0,1.0003482103347778,-4999.990427182027,0.00010041027836559022,0.16663041710853577,15.84801025317998,0.00736177516645433,1686050027.840663,0.10485646227428112,89.03025100783984,-0.02850264310836792,-0.038586825132369995,-0.0007513222761776474,9950,0.036213829601854,-1.4324318999336247,4.1017970717710034e-05,3.2943919582858936e-05,6510.971069047642,6.233277233054126e-06,0.16663041710853577,-0.00040692929178476334,-5.436320657758922e-06,-0.013737983301941757,0.00012311687786285315,{'runtime': 12},9950,9950,0.10485646227428112
3,efficient-sweep-42,4,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0,9950,0.06024837294248867,12.878076076507568,9950,0.0011487212688727638,9950,3.829510751529597e-05,0.025520811313018185,0.05917408906732331,-0.2252325273652337,-0.1845515065112372,-0.0016855169395834804,0.01172509292928092,1557.7876881302102,-0.2252325273652337,9580,-0.0999725958544049,0.04012609240681364,0.01689259438587745,0.006425888929929177,-0.0392661988735199,0.004154120135425781,0.008436807828733538,-0.19909915814720755,0.009549863985640296,-139.41487519259775,-0.19909915814720755,-0.03952932357788086,0.0,9950,0.0,89.24809031381179,-0.02821660041809082,1515.017208262356,-0.1866243304896529,8868.79618849162,-0.11242135885985773,0.19578358831301204,-0.028518800755259283,15.56574959061984,-0.027513444423675537,0.029601693153381348,4.012609240681364,0,1.0001505613327026,-3919.626797021445,0.07355404321590944,0.14325222373008728,19.578358831301205,0.008436807828733538,1686050006.898314,0.08364613155269965,88.92762515713403,-0.03952932357788086,-0.0392661988735199,0.0011487212688727638,9950,0.01689259438587745,-1.165912851410324,0.0005676385268761598,7.701087581251418e-05,7476.443265213334,0.0010408675368948064,0.14325222373008728,0.00015363702550530434,0.1080977123697806,-0.03741847003057491,0.005732455298753615,{'runtime': 12},9950,9950,0.08364613155269965
4,breezy-sweep-41,4,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_fixed_sin,0.8,0.8,0,9950,0.05451062669581839,13.32893705368042,9950,0.002233525550747463,9950,-7.120853115338832e-05,0.02940112939491924,0.051399974990922824,-0.03675715567247375,-0.02644481602307201,-0.0038100874682772874,0.0012227057428023974,1548.660352587055,-0.03675715567247375,9580,-0.08761918053065956,0.1497718216474742,-0.04927726351348081,0.008788865878319514,-0.029333561658859253,0.005284098137538982,0.009515334684409389,-0.049622718968128025,-0.001440142268817776,-1338.5632415125287,-0.049622718968128025,-0.02599877119064331,-0.02748775933618656,9950,-0.02644481602307201,89.15277873177132,-0.02642795443534851,1500.7909189846305,-0.02748775933618656,8757.287249484758,-0.1206818150934913,0.21118808458854177,-0.014554573091596724,6.141626294106754,-0.0015684962272644043,-0.0507904589176178,14.977182164747422,0,1.0000834465026855,-4113.1702066231655,0.03942706532688262,0.13341262936592102,21.118808458854176,0.009515334684409389,1686049986.178275,0.06281339252422767,89.07269526168358,-0.02599877119064331,-0.029333561658859253,0.002233525550747463,9950,-0.04927726351348081,-1.0978536146165412,0.0017871467839916234,0.00029114181698383933,7392.457341416811,0.0017317988673018242,0.13341262936592102,-0.0002924411091953516,0.06549969818140511,-0.03743291186640709,0.0003496213308692764,{'runtime': 12},9950,9950,0.06281339252422767
5,stellar-sweep-40,4,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_hold,0.8,0.8,0,9950,0.05567405342638477,15.341922998428345,9950,0.001339882325653708,9950,-0.001104413066059351,0.017847470328638995,0.05422617755960843,0.0058097496589870285,0.0,-0.0001048500647021482,-7.648086552946422e-05,1552.4161656731335,0.0058097496589870285,9580,-0.06697668295027533,0.06433551707149078,0.034980694196296916,0.05971885935448325,-0.038586825132369995,0.0031629173050719737,0.00736177516645433,0.00012326412285484082,-4.914820518675329e-07,-846.39625923917,0.00012326412285484082,-0.02850264310836792,0.03490658503988659,9950,0.03490658503988659,89.19783357407027,-0.024992018938064575,1574.803810461685,0.0,8788.19785739898,-0.2958594700097939,0.15848010253179978,-0.0035016726638051024,9.4144585460309,-0.00956350564956665,0.05473211407661438,6.433551707149078,0,1.000167965888977,-4999.990427182027,0.00010041027836559022,0.16663041710853577,15.84801025317998,0.00736177516645433,1686049963.05451,0.10485646227428112,89.03025100783984,-0.02850264310836792,-0.038586825132369995,0.001339882325653708,9950,0.034980694196296916,-1.4324318999336247,5.542122674479891e-08,0.00010477461045216726,6510.971069047642,2.0033023236146852e-08,0.16663041710853577,-0.001580764539539814,4.6192222194962215e-06,-0.013737983301941757,0.00012311687786285315,{'runtime': 13},9950,9950,0.10485646227428112
6,spring-sweep-39,3,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0,9950,0.06024837294248867,13.29881501197815,9950,0.0027307614824370967,9950,5.196601341594942e-05,0.025520811313018185,0.056981361176269,-0.2252325273652337,-0.1845515065112372,-0.005632664215602795,0.01172509292928092,1557.7876881302102,-0.2252325273652337,9580,-0.0999725958544049,0.041058434249160135,0.010392819706378871,0.008881157704545948,-0.0392661988735199,0.004154120135425781,0.008436807828733538,-0.15033516899395324,0.0050571727995783605,253.89911554957024,-0.15033516899395324,-0.03952932357788086,0.0,9950,0.0,89.21399588002112,-0.026163607835769653,1515.1932351828616,-0.1866243304896529,8867.633669573219,0.008162754235784659,0.19578358831301204,-0.019549746036552493,15.472515406385192,-0.022171854972839355,0.015496164560317991,4.105843424916014,0,1.000164031982422,-3919.626797021445,0.07355404321590944,0.14325222373008728,19.578358831301205,0.008436807828733538,1686049935.353805,0.08364613155269965,88.92762515713403,-0.03952932357788086,-0.0392661988735199,0.0027307614824370967,9950,0.010392819706378871,-1.165912851410324,0.004803487028209796,0.0004352013911852486,7476.443265213334,0.0003939757962077501,0.14325222373008728,0.00018063593597617,0.09220174263035684,-0.03741847003057491,0.005732455298753615,{'runtime': 12},9950,9950,0.08364613155269965
7,glorious-sweep-38,3,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_fixed_sin,0.8,0.8,0,9950,0.05451062669581839,13.62866497039795,9950,-0.0019847257436480556,9950,-5.708004755433649e-05,0.02940112939491924,0.053269656854314805,-0.03675715567247375,-0.02644481602307201,-0.006878543709160771,0.0012227057428023974,1548.660352587055,-0.03675715567247375,9580,-0.08761918053065956,0.15962558794517367,-0.04302461121826685,0.00944072236945436,-0.029333561658859253,0.005284098137538982,0.009515334684409389,-0.06725422593898513,0.0006273802949483966,-2095.8831453736407,-0.06725422593898513,-0.02599877119064331,-0.02748775933618656,9950,-0.02644481602307201,89.24051032251141,-0.025450855493545532,1501.2991954786396,-0.02748775933618656,8591.462376982252,-0.2745985188488934,0.21118808458854177,-0.012930210314848312,5.1562496643368085,0.0007789134979248047,-0.04278051853179931,15.962558794517369,0,1.0000107288360596,-4113.1702066231655,0.03942706532688262,0.13341262936592102,21.118808458854176,0.009515334684409389,1686049873.633997,0.06281339252422767,89.07269526168358,-0.02599877119064331,-0.029333561658859253,-0.0019847257436480556,9950,-0.04302461121826685,-1.0978536146165412,0.0057681528929660235,0.00022989193929486964,7392.457341416811,0.0008804988768998776,0.13341262936592102,-0.00029367057140916586,0.04737754285315291,-0.03743291186640709,0.0003496213308692764,{'runtime': 12},9950,9950,0.06281339252422767
8,celestial-sweep-37,3,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_hold,0.8,0.8,0,9950,0.05567405342638477,13.01109504699707,9950,-0.0005188508253236466,9950,-0.0007895076414570212,0.017847470328638995,0.05440428869634686,0.0058097496589870285,0.0,-0.0003625095810671534,-7.648086552946422e-05,1552.4161656731335,0.0058097496589870285,9580,-0.06697668295027533,0.06345811515962256,0.03414006449125703,0.038137790448068795,-0.038586825132369995,0.0031629173050719737,0.00736177516645433,-0.009720555914909258,-0.0003581997185555979,-865.9984751651816,-0.009720555914909258,-0.02850264310836792,0.03490658503988659,9950,0.03490658503988659,89.21790322173239,-0.02463293075561523,1541.615704919136,0.0,8801.929120919936,-0.3106164208799657,0.15848010253179978,-0.0029145483085535693,9.50219873721772,-0.01109445095062256,0.054359614849090576,6.345811515962256,0,1.0002282857894895,-4999.990427182027,0.00010041027836559022,0.16663041710853577,15.84801025317998,0.00736177516645433,1686049851.273341,0.10485646227428112,89.03025100783984,-0.02850264310836792,-0.038586825132369995,-0.0005188508253236466,9950,0.03414006449125703,-1.4324318999336247,0.000344655299683555,1.5711142287705655e-05,6510.971069047642,2.1431390958926655e-06,0.16663041710853577,-0.0012598223984241486,-0.000638114623113881,-0.013737983301941757,0.00012311687786285315,{'runtime': 12},9950,9950,0.10485646227428112
9,splendid-sweep-36,2,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0,9950,0.06024837294248867,13.211248874664308,9950,0.0019606986828047657,9950,3.56863129127305e-05,0.025520811313018185,0.06009464057350743,-0.2252325273652337,-0.1845515065112372,-0.001528201837998408,0.01172509292928092,1557.7876881302102,-0.2252325273652337,9580,-0.0999725958544049,0.04260351947940546,0.016438494020252256,0.006750662115309701,-0.0392661988735199,0.004154120135425781,0.008436807828733538,-0.1959641214869952,0.010921769521520727,-30.071214645171622,-0.1959641214869952,-0.03952932357788086,0.0,9950,0.0,89.29586671403393,-0.028729110956192017,1519.1395023820037,-0.1866243304896529,8870.287906214991,-0.09055082400665046,0.19578358831301204,-0.02794873951632073,15.31800688336066,-0.027855873107910156,0.02797439694404602,4.260351947940546,0,1.0001338720321655,-3919.626797021445,0.07355404321590944,0.14325222373008728,19.578358831301205,0.008436807828733538,1686049803.112882,0.08364613155269965,88.92762515713403,-0.03952932357788086,-0.0392661988735199,0.0019606986828047657,9950,0.016438494020252256,-1.165912851410324,0.000318183072375087,0.0002243594941670552,7476.443265213334,0.0009856592714562655,0.14325222373008728,0.00014170304348226637,0.11118627313095154,-0.03741847003057491,0.005732455298753615,{'runtime': 12},9950,9950,0.08364613155269965
