,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement,_step,_wandb
26,hardy-sweep-174,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.2,0.9,6.5316081047058105,16.011297433609993,5.451016628515826,1685822034.760823,10.560280805094166,0,{'runtime': 6}
27,bright-sweep-173,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.9,0.6,6.435916900634766,20.585377984797297,5.130102683484112,1685822018.699229,15.455275301313186,0,{'runtime': 5}
28,glorious-sweep-172,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.7,6.580615997314453,14.965543983462323,30.29742464973446,1685822003.750829,-15.331880666272136,0,{'runtime': 5}
29,clear-sweep-171,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.5,0.3,6.489262104034424,20.585377984797297,4.930780484937064,1685821987.50685,15.654597499860234,0,{'runtime': 6}
30,tough-sweep-170,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.1,0.8,6.612551212310791,20.585377984797297,6.981117752728548,1685821972.0249422,13.60426023206875,0,{'runtime': 6}
31,happy-sweep-169,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.9,0.4,6.3516716957092285,14.965543983462323,3.806057517363289,1685821955.8747468,11.159486466099034,0,{'runtime': 5}
32,kind-sweep-168,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.2,0.7,6.6697468757629395,20.585377984797297,4.367157029087757,1685821939.948711,16.21822095570954,0,{'runtime': 6}
33,warm-sweep-167,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.7,6.87855076789856,14.965543983462323,4.618716886827157,1685821924.960693,10.346827096635169,0,{'runtime': 6}
34,electric-sweep-166,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.7,5.25335693359375,16.011297433609993,NaN,1685821907.3376598,NaN,0,{'runtime': 4}
35,graceful-sweep-165,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.9,6.5660271644592285,14.965543983462323,26.375337539682597,1685821892.675095,-11.409793556220274,0,{'runtime': 6}
36,warm-sweep-164,IDHPSAC,0.8,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.4,6.763336896896362,20.585377984797297,4.069337670304538,1685821877.607932,16.51604031449276,0,{'runtime': 6}
37,cosmic-sweep-163,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.9,0.2,6.5253260135650635,14.965543983462323,30.262327227991964,1685821861.417451,-15.29678324452964,0,{'runtime': 6}
38,rose-sweep-162,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.7,0.7,6.445782899856567,16.011297433609993,16.072150764561695,1685821845.2642229,-0.06085333095170142,0,{'runtime': 5}
39,woven-sweep-161,IDHPSAC,0.8,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.9,6.587162971496582,14.965543983462323,8.540064883826641,1685821829.460277,6.425479099635682,0,{'runtime': 6}
