,name,seed,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,eval/beta_sq_error,citation_states/step,eval/phi_sq_error,citation_inputs/da,eval/reward,online/phi_ref,online_states/V,online_states/xe,citation_states/theta,online/theta_sq_error,online/phi,online/beta,online/mean_error,online_states/beta,citation_states/psi,eval/theta_sq_error,citation_inputs/step,citation_states/beta,hybrid_nmae,online/theta,online/beta_ref,online_states/step,citation_states/q,eval/de,online_states/r,online/action_dr,citation_states/p,eval/phi,_timestamp,eval/theta,online/nmae,eval/theta_ref,citation_states/alpha,online/phi_sq_error,online_states/theta,_step,eval/step,actor/idhp_w_0,citation_states/xe,citation_inputs/dr,online_states/alpha,citation_states/r,online_states/phi,online_states/psi,citation_states/he,eval/dr,_runtime,learning/rewards,online/action_da,online/beta_sq_error,citation_states/V,eval/phi_ref,non_hybrid_nmae,online_states/p,online_states/q,_wandb,online/step,actor/idhp_w_2,online/action_de,eval/beta_ref,learning/step,online_states/he,hybrid_improvement,eval/da,eval/nmae,online/theta_ref,online_states/ye,eval/beta,actor/idhp_w_1,citation_inputs/de,citation_states/ye,train/step,citation_states/phi
0,worldly-sweep-15,5,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0.0041533644138156,9950,0.0057416056310525135,-0.03952878713607788,-0.09998913321181682,-0.1866243304896529,89.2440148280566,8868.741455123685,0.00843604037764978,0.001206803543493041,-0.19109562990958717,0.0027260682821305107,0.006032409118569371,0.01818933873035181,-1.1662026050912258,0.025519236593461864,9950,0.0836435508896186,3.8014992746819662,0.01818933873035181,0,9950,0.011727261309173426,-0.039267390966415405,-0.026768017031761532,0.030092298984527588,0.07355383514508104,-0.2252641546529273,1686033788.33945,0.0836435508896186,0.038014992746819666,0,0.060249652084169616,7.292396299267203e-05,0.0027260682821305107,9580,9950,1.0001507997512815,7475.675847356269,0.1432497203350067,0.059565010548121355,-0.03742156855979691,-0.19109562990958717,-0.07219435021753012,1557.8007243387558,0.1432497203350067,12.616880178451538,-0.0017134342726999924,-0.02681612968444824,0.0004337067662142794,88.92762216910664,-0.1845515065112372,19.577752737355866,0.10378328885862372,0.009833560119258011,{'runtime': 12},9950,0.0001804139174055308,-0.028311073780059814,0,9950,1515.7646628092375,15.776253462673896,-0.03952878713607788,0.1957775273735586,0,80.92078551594834,0.00843604037764978,4.946624903823249e-05,-0.039267390966415405,-3920.603813857932,9950,-0.2252641546529273
1,atomic-sweep-14,4,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0.004153394332783154,9950,0.005741593666495675,-0.03952908515930176,-0.09998919275964946,-0.1866243304896529,89.20160156034305,8876.668493590698,0.00843607076231371,0.0008515128311940701,-0.19685018013172276,0.0022766839063117,0.007276814694630265,0.015278975011375972,-1.1662025527733273,0.025519244731445186,9950,0.08364356422641582,3.6750272246700217,0.015278975011375972,0,9950,0.011727171481590751,-0.03926679491996765,-0.02758181260694212,0.026747912168502808,0.07355347503768528,-0.22526411331499108,1686033767.012056,0.08364356422641582,0.036750272246700216,0,0.060249672670567904,0.00038141833041093344,0.0022766839063117,9580,9950,1.000164270401001,7475.676021090551,0.1432495415210724,0.05810743945872572,-0.0374215914486917,-0.19685018013172276,-0.10359455281491306,1557.8007236469148,0.1432495415210724,12.197127103805542,-0.00153543313570677,-0.026757240295410156,0.0003025019741017664,88.92762209735693,-0.1845515065112372,19.577752634040536,0.10671461310113048,0.0074506081686934915,{'runtime': 11},9950,0.00027321354718878865,-0.027405261993408203,0,9950,1505.317326303618,15.902725409370516,-0.03952908515930176,0.19577752634040535,0,-79.67867914266196,0.00843607076231371,5.964934462099336e-05,-0.03926679491996765,-3920.603624272145,9950,-0.22526411331499108
2,feasible-sweep-13,3,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0.004153387777825968,9950,0.00574161192490097,-0.03952878713607788,-0.09998920812349071,-0.1866243304896529,89.20987574301606,8865.613727313425,0.008436064105336304,0.0005239558264997073,-0.18994200528483696,0.0029927844022221285,0.005335652905867748,0.011985218594397764,-1.166202562484094,0.025519237212683215,9950,0.08364355190441917,3.45205843039893,0.011985218594397764,0,9950,0.01172724013407936,-0.03926664590835571,-0.025102598840465347,0.020777463912963867,0.07355407854457391,-0.22526417639836277,1686033746.49771,0.08364355190441917,0.0345205843039893,0,0.060249669758333464,4.014859781348956e-05,0.0029927844022221285,9580,9950,1.0001559257507324,7475.675964330304,0.14324942231178284,0.05809628520727653,-0.03742154793925245,-0.18994200528483696,-0.022064445074423043,1557.8007249463055,0.14324942231178284,12.596112966537476,-0.0010868298217834931,-0.025120675563812256,0.0005227253974702964,88.92762209871172,-0.1845515065112372,19.5777530247622,0.10289615448516452,0.006377791802055694,{'runtime': 12},9950,0.0001539994409540668,-0.027030766010284424,0,9950,1513.1297258392476,16.125694594363274,-0.03952878713607788,0.19577753024762204,0,215.95249355558929,0.008436064105336304,3.305589416413568e-05,-0.03926664590835571,-3920.603694184329,9950,-0.22526417639836277
3,dutiful-sweep-12,2,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0.0041533807328169685,9950,0.005741614442666336,-0.03952944278717041,-0.09998919312635517,-0.1866243304896529,89.17261886705545,8869.194954214554,0.008436056950674143,0.0014282061157978652,-0.18749570428423365,0.00517212255627053,0.008225933660325287,0.019787643005829383,-1.1662025719812878,0.02551923499296488,9950,0.08364354826667075,4.475416168515014,0.019787643005829383,0,9950,0.011727145710611116,-0.03926706314086914,-0.027294312267762223,0.03196662664413452,0.07355365211872386,-0.2252641850973144,1686033725.46456,0.08364354826667075,0.04475416168515014,0,0.06024966294411163,2.769566167488412e-06,0.00517212255627053,9580,9950,1.0001881122589111,7475.675917117412,0.14324966073036194,0.05898659307848571,-0.037421563147753675,-0.18749570428423365,-0.0988714689800105,1557.8007244827097,0.14324966073036194,12.494619131088257,-0.002992182187755875,-0.02915823459625244,0.001561206505790521,88.92762211327748,-0.1845515065112372,19.5777528090404,0.11301800387012714,0.008474402964713591,{'runtime': 11},9950,0.0001705512695480138,-0.02813926339149475,0,9950,1519.0592695576547,15.102336640525388,-0.03952944278717041,0.195777528090404,0,-86.14918143716889,0.008436056950674143,3.95801653212402e-05,-0.03926706314086914,-3920.603758005412,9950,-0.2252641850973144
4,breezy-sweep-11,1,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.8,0.004153376783618369,9950,0.005741614061258288,-0.03952932357788086,-0.09998918444308633,-0.1866243304896529,89.18553759736142,8866.22546779742,0.00843605294000496,0.0008084158739053433,-0.2040594891534628,0.002355390558500972,0.005844303886051359,0.014887303377754364,-1.1662025709068966,0.025519237263363855,9950,0.0836435519874763,3.812511029130389,0.014887303377754364,0,9950,0.01172717376281231,-0.03926724195480347,-0.02808248682869914,0.02644839882850647,0.0735538635793588,-0.22526418377953877,1686033704.1888871,0.0836435519874763,0.03812511029130389,0,0.06024965977179699,0.0011088034362909385,0.002355390558500972,9580,9950,1.0001956224441528,7475.675968526762,0.1432497799396515,0.057675943059339686,-0.037421560711179046,-0.2040594891534628,-0.10320842880726888,1557.8007237033237,0.1432497799396515,12.499694108963013,-0.002240998250829281,-0.026546001434326172,0.0003237789406329994,88.92762210110129,-0.1845515065112372,19.57775310054577,0.10547365771994877,0.006616257963579037,{'runtime': 11},9950,0.00021409816690720615,-0.027174055576324463,0,9950,1521.1126812142445,15.765242071415384,-0.03952932357788086,0.1957775310054577,0,-110.13999426183436,0.00843605294000496,4.083508611074649e-05,-0.03926724195480347,-3920.603664428202,9950,-0.22526418377953877
5,happy-sweep-10,5,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.8,0.008531337159304925,9950,0.002672287725545112,-0.035168468952178955,-0.08439209501703127,-0.1866243304896529,89.16786418168236,8834.92930582992,0.012090581358846388,0.0004904658101049591,-0.2104890744182607,-0.007141775012577526,0.009416691245571969,0.011595860753346142,-0.9212387990221236,0.011906491810564112,9950,0.057133460709474386,4.39324691384805,0.011595860753346142,0,9950,0.00976106725233902,-0.034216105937957764,-0.023195094148765676,0.021214067935943604,0.09211755980159655,-0.21265631060303616,1686033683.234981,0.057133460709474386,0.0439324691384805,0,0.05906144886865501,0.0020773817537961055,-0.007141775012577526,9580,9950,1.0000908374786377,8005.028176009429,0.09801295399665833,0.048429268869528704,-0.03301408530765239,-0.2104890744182607,0.017313563792492617,1556.0420491890493,0.09801295399665833,12.518687963485718,-0.005544547560812461,-0.03703141212463379,0.0029766999969113965,88.9883053164873,-0.1845515065112372,14.54918074021258,0.13518094200633343,0.007475869969167463,{'runtime': 12},9950,0.0004961301456205547,-0.03036758303642273,0,9950,1494.861081455123,10.155933826364532,-0.035168468952178955,0.1454918074021258,0,784.6054725572602,0.012090581358846388,0.0,-0.034216105937957764,-3140.0564517156467,9950,-0.21265631060303616
6,honest-sweep-9,4,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.8,0.008531321249442125,9950,0.0026722855509847144,-0.03516840934753418,-0.08439205951669844,-0.1866243304896529,89.13926138860376,8821.744442093948,0.012090570085140011,0.0002747987735457697,-0.23214414767202513,-0.006414519492264752,0.014130791124873183,0.008679726033824912,-0.9212388315950816,0.011906491953881068,9950,0.05713346105332856,5.563437720918174,0.008679726033824912,0,9950,0.009761083482152755,-0.03421643376350403,-0.019074219481343472,0.014115899801254272,0.09211769192036912,-0.21265629959021515,1686033662.5651069,0.05713346105332856,0.05563437720918174,0,0.059061448744750174,0.007557945809779754,-0.006414519492264752,9580,9950,0.9996629357337952,8005.028142158587,0.09801310300827026,0.044240479223074225,-0.03301409245155611,-0.23214414767202513,-0.000986310973075406,1556.042057398078,0.09801310300827026,12.779836893081663,-0.010234069882622352,-0.03483206033706665,0.0024013252992968292,88.98830540757174,-0.1845515065112372,14.549181079384246,0.1010893879552316,-0.005164988201803277,{'runtime': 12},9950,0.0014466966968029735,-0.027643054723739624,0,9950,1490.5384336356578,8.985743358466072,-0.03516840934753418,0.14549181079384246,0,888.5106837033564,0.012090570085140011,0.0,-0.03421643376350403,-3140.0564471487423,9950,-0.21265629959021515
7,hardy-sweep-8,3,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.8,0.008531271541222771,9950,0.0026722881506456393,-0.03516852855682373,-0.0843919814662879,-0.1866243304896529,89.14259763375613,8825.561267440029,0.012090534861898044,0.0014686648733572738,-0.17224359703406275,0.005628053188696683,0.012061808206055302,0.02006596157247689,-0.921238786742706,0.011906494090365562,9950,0.05713346617930305,4.46521870244424,0.02006596157247689,0,9950,0.009761163628475063,-0.034215837717056274,-0.026919417791764703,0.03084725141525269,0.0921174077116029,-0.21265631275591032,1686033641.135434,0.05713346617930305,0.044652187024442395,0,0.05906143471912869,0.0007543359903183726,0.005628053188696683,9580,9950,0.9994815587997437,8005.028175526334,0.09801283478736876,0.05947163493114652,-0.033014133907194904,-0.17224359703406275,0.003341201229824121,1556.0420701717417,0.09801283478736876,12.3768789768219,-0.004071584585044499,-0.01950287818908691,0.0018485837213688529,88.98830551922326,-0.1845515065112372,14.54918119066814,0.09955129440402258,0.027155033812725732,{'runtime': 11},9950,0.000721050426363945,-0.03173992037773132,0,9950,1488.7940027117168,10.0839624882239,-0.03516852855682373,0.1454918119066814,0,865.8142728674472,0.012090534861898044,0.0,-0.034215837717056274,-3140.0564456739353,9950,-0.21265631275591032
8,decent-sweep-7,2,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.8,0.008531320733866182,9950,0.0026722826599939625,-0.03516888618469238,-0.08439204680627466,-0.1866243304896529,89.16983354664293,8777.352974057936,0.012090569719803448,0.0009621577950853112,-0.2166839509486708,0.013828777201008956,0.013575475623106268,0.01624133684368071,-0.9212388112978026,0.011906490343786472,9950,0.057133457190298186,5.412797734829462,0.01624133684368071,0,9950,0.009761092338043405,-0.034216225147247314,-0.03260879491917664,0.01859414577484131,0.09211759339642618,-0.21265628494910477,1686033619.885346,0.057133457190298186,0.054127977348294616,0,0.05906144062534291,0.003295867477064944,0.013828777201008956,9580,9950,0.9995161294937134,8005.028132057309,0.09801295399665833,0.07146786622208656,-0.03301410718245685,-0.2166839509486708,0.05097603142792488,1556.042056426057,0.09801295399665833,12.434499979019163,-0.015418696050395996,-0.008225321769714355,0.01116067077824574,88.98830536491985,-0.1845515065112372,14.549181041237883,0.10972991120826464,0.061500645793413834,{'runtime': 11},9950,0.0004606926522683352,-0.03207328915596008,0,9950,1481.3439021220672,9.136383306408424,-0.03516888618469238,0.14549181041237885,0,1218.8789824822156,0.012090569719803448,0.0,-0.034216225147247314,-3140.056524264839,9950,-0.21265628494910477
9,true-sweep-6,1,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.8,0.8,0.008531300582706684,9950,0.0026722862200997217,-0.035168468952178955,-0.08439201964240753,-0.1866243304896529,89.04517886642996,8733.112786180722,0.012090555440704682,0.0022394213033431684,-0.19117661417198412,0.01198810353981617,0.009457835908868097,0.024778015766316025,-0.9212387978087316,0.011906488850708549,9950,0.05713345360802063,5.339705637041234,0.024778015766316025,0,9950,0.009761095553806031,-0.03421592712402344,-0.0235789148420772,0.034040749073028564,0.09211771063094176,-0.2126563029788747,1686033598.405097,0.05713345360802063,0.053397056370412345,0,0.05906143154614054,7.558948583559548e-05,0.01198810353981617,9580,9950,0.9995492100715636,8005.028162410958,0.09801286458969116,0.05629828019947235,-0.033014104091709275,-0.19117661417198412,0.06780551892380447,1556.042060247897,0.09801286458969116,12.284257888793944,-0.01070234036077968,-0.02983534336090088,0.008387329571600917,88.98830539771495,-0.1845515065112372,14.549180911692622,0.11566947553156975,0.004778999893518494,{'runtime': 11},9950,0.0006137421005405486,-0.0270402729511261,0,9950,1501.0314939728728,9.209475274651387,-0.035168468952178955,0.14549180911692622,0,1491.2281213117883,0.012090555440704682,0.0,-0.03421592712402344,-3140.056474678797,9950,-0.2126563029788747
